subj,item,type,pos,word,correct,rt,region,type2,so
32,11,subj-ext,8,球員,-,230,headnoun,subject relative,-1
32,13,subj-ext,8,男人,-,324,headnoun,subject relative,-1
32,2,obj-ext,8,車,-,275,headnoun,object relative,1
32,4,obj-ext,8,女孩,-,200,headnoun,object relative,1
32,14,obj-ext,8,空服員,-,263,headnoun,object relative,1
33,15,obj-ext,8,演員,-,767,headnoun,object relative,1
33,4,subj-ext,8,女孩,-,237,headnoun,subject relative,-1
33,3,obj-ext,8,婦人,-,254,headnoun,object relative,1
33,7,obj-ext,8,狗,-,221,headnoun,object relative,1
33,5,obj-ext,8,轎車,-,214,headnoun,object relative,1
33,10,subj-ext,8,住戶,-,799,headnoun,subject relative,-1
33,6,subj-ext,8,女孩,-,270,headnoun,subject relative,-1
33,2,subj-ext,8,車,-,221,headnoun,subject relative,-1
33,1,obj-ext,8,人,-,205,headnoun,object relative,1
33,16,subj-ext,8,記者,-,707,headnoun,subject relative,-1
33,13,obj-ext,8,男人,-,294,headnoun,object relative,1
33,9,obj-ext,8,探員,-,309,headnoun,object relative,1
33,8,subj-ext,8,業餘選手,-,302,headnoun,subject relative,-1
33,11,obj-ext,8,球員,-,254,headnoun,object relative,1
33,14,subj-ext,8,空服員,-,246,headnoun,subject relative,-1
34,4,obj-ext,8,女孩,-,287,headnoun,object relative,1
34,1,subj-ext,8,人,-,369,headnoun,subject relative,-1
34,6,obj-ext,8,女孩,-,367,headnoun,object relative,1
34,14,obj-ext,8,空服員,-,331,headnoun,object relative,1
34,11,subj-ext,8,球員,-,343,headnoun,subject relative,-1
34,10,obj-ext,8,住戶,-,379,headnoun,object relative,1
34,2,obj-ext,8,車,-,726,headnoun,object relative,1
34,15,subj-ext,8,演員,-,322,headnoun,subject relative,-1
34,9,subj-ext,8,探員,-,292,headnoun,subject relative,-1
34,5,subj-ext,8,轎車,-,478,headnoun,subject relative,-1
34,13,subj-ext,8,男人,-,298,headnoun,subject relative,-1
34,3,subj-ext,8,婦人,-,366,headnoun,subject relative,-1
34,16,obj-ext,8,記者,-,257,headnoun,object relative,1
34,8,obj-ext,8,業餘選手,-,435,headnoun,object relative,1
34,7,subj-ext,8,狗,-,270,headnoun,subject relative,-1
35,16,subj-ext,8,記者,-,318,headnoun,subject relative,-1
35,2,subj-ext,8,車,-,366,headnoun,subject relative,-1
35,8,subj-ext,8,業餘選手,-,294,headnoun,subject relative,-1
35,5,obj-ext,8,轎車,-,534,headnoun,object relative,1
35,4,subj-ext,8,女孩,-,245,headnoun,subject relative,-1
35,13,obj-ext,8,男人,-,1008,headnoun,object relative,1
35,1,obj-ext,8,人,-,1056,headnoun,object relative,1
35,14,subj-ext,8,空服員,-,695,headnoun,subject relative,-1
35,7,obj-ext,8,狗,-,294,headnoun,object relative,1
35,3,obj-ext,8,婦人,-,408,headnoun,object relative,1
35,11,obj-ext,8,球員,-,398,headnoun,object relative,1
35,10,subj-ext,8,住戶,-,310,headnoun,subject relative,-1
35,9,obj-ext,8,探員,-,294,headnoun,object relative,1
35,6,subj-ext,8,女孩,-,294,headnoun,subject relative,-1
35,15,obj-ext,8,演員,-,293,headnoun,object relative,1
36,2,obj-ext,8,車,-,560,headnoun,object relative,1
36,11,subj-ext,8,球員,-,969,headnoun,subject relative,-1
36,15,subj-ext,8,演員,-,314,headnoun,subject relative,-1
36,5,subj-ext,8,轎車,-,2366,headnoun,subject relative,-1
36,16,obj-ext,8,記者,-,399,headnoun,object relative,1
36,14,obj-ext,8,空服員,-,515,headnoun,object relative,1
36,3,subj-ext,8,婦人,-,332,headnoun,subject relative,-1
36,8,obj-ext,8,業餘選手,-,1275,headnoun,object relative,1
36,1,subj-ext,8,人,-,295,headnoun,subject relative,-1
36,13,subj-ext,8,男人,-,377,headnoun,subject relative,-1
36,9,subj-ext,8,探員,-,274,headnoun,subject relative,-1
36,10,obj-ext,8,住戶,-,250,headnoun,object relative,1
36,4,obj-ext,8,女孩,-,267,headnoun,object relative,1
36,6,obj-ext,8,女孩,-,243,headnoun,object relative,1
36,7,subj-ext,8,狗,-,222,headnoun,subject relative,-1
37,14,subj-ext,8,空服員,-,935,headnoun,subject relative,-1
37,6,subj-ext,8,女孩,-,1585,headnoun,subject relative,-1
37,8,subj-ext,8,業餘選手,-,1280,headnoun,subject relative,-1
37,16,subj-ext,8,記者,-,2676,headnoun,subject relative,-1
37,11,obj-ext,8,球員,-,695,headnoun,object relative,1
37,5,obj-ext,8,轎車,-,831,headnoun,object relative,1
37,7,obj-ext,8,狗,-,791,headnoun,object relative,1
37,3,obj-ext,8,婦人,-,550,headnoun,object relative,1
37,4,subj-ext,8,女孩,-,470,headnoun,subject relative,-1
37,9,obj-ext,8,探員,-,422,headnoun,object relative,1
37,13,obj-ext,8,男人,-,518,headnoun,object relative,1
37,15,obj-ext,8,演員,-,454,headnoun,object relative,1
37,1,obj-ext,8,人,-,526,headnoun,object relative,1
37,10,subj-ext,8,住戶,-,543,headnoun,subject relative,-1
37,2,subj-ext,8,車,-,614,headnoun,subject relative,-1
38,16,subj-ext,8,記者,-,318,headnoun,subject relative,-1
38,2,subj-ext,8,車,-,278,headnoun,subject relative,-1
38,10,subj-ext,8,住戶,-,493,headnoun,subject relative,-1
38,15,obj-ext,8,演員,-,622,headnoun,object relative,1
38,4,subj-ext,8,女孩,-,238,headnoun,subject relative,-1
38,13,obj-ext,8,男人,-,262,headnoun,object relative,1
38,6,subj-ext,8,女孩,-,286,headnoun,subject relative,-1
38,9,obj-ext,8,探員,-,324,headnoun,object relative,1
38,8,subj-ext,8,業餘選手,-,238,headnoun,subject relative,-1
38,1,obj-ext,8,人,-,254,headnoun,object relative,1
38,7,obj-ext,8,狗,-,302,headnoun,object relative,1
38,11,obj-ext,8,球員,-,300,headnoun,object relative,1
38,3,obj-ext,8,婦人,-,230,headnoun,object relative,1
38,5,obj-ext,8,轎車,-,262,headnoun,object relative,1
38,14,subj-ext,8,空服員,-,686,headnoun,subject relative,-1
39,2,subj-ext,8,車,-,374,headnoun,subject relative,-1
39,16,subj-ext,8,記者,-,302,headnoun,subject relative,-1
39,7,obj-ext,8,狗,-,206,headnoun,object relative,1
39,13,obj-ext,8,男人,-,445,headnoun,object relative,1
39,6,subj-ext,8,女孩,-,278,headnoun,subject relative,-1
39,5,obj-ext,8,轎車,-,214,headnoun,object relative,1
39,10,subj-ext,8,住戶,-,230,headnoun,subject relative,-1
39,11,obj-ext,8,球員,-,2053,headnoun,object relative,1
39,9,obj-ext,8,探員,-,182,headnoun,object relative,1
39,15,obj-ext,8,演員,-,430,headnoun,object relative,1
39,14,subj-ext,8,空服員,-,222,headnoun,subject relative,-1
39,1,obj-ext,8,人,-,206,headnoun,object relative,1
39,3,obj-ext,8,婦人,-,462,headnoun,object relative,1
39,4,subj-ext,8,女孩,-,270,headnoun,subject relative,-1
39,8,subj-ext,8,業餘選手,-,3814,headnoun,subject relative,-1
