subj,item,type,pos,word,correct,rt,region,type2,so
1,13,obj-ext,8,男人,-,1561,headnoun,object relative,1
1,6,subj-ext,8,女孩,-,959,headnoun,subject relative,-1
1,5,obj-ext,8,轎車,-,582,headnoun,object relative,1
1,9,obj-ext,8,探員,-,294,headnoun,object relative,1
1,14,subj-ext,8,空服員,-,438,headnoun,subject relative,-1
1,4,subj-ext,8,女孩,-,286,headnoun,subject relative,-1
1,8,subj-ext,8,業餘選手,-,438,headnoun,subject relative,-1
1,10,subj-ext,8,住戶,-,278,headnoun,subject relative,-1
1,2,subj-ext,8,車,-,542,headnoun,subject relative,-1
1,11,obj-ext,8,球員,-,494,headnoun,object relative,1
1,7,obj-ext,8,狗,-,270,headnoun,object relative,1
1,3,obj-ext,8,婦人,-,406,headnoun,object relative,1
1,16,subj-ext,8,記者,-,374,headnoun,subject relative,-1
1,15,obj-ext,8,演員,-,286,headnoun,object relative,1
1,1,obj-ext,8,人,-,246,headnoun,object relative,1
11,5,obj-ext,8,轎車,-,398,headnoun,object relative,1
11,13,obj-ext,8,男人,-,1280,headnoun,object relative,1
11,6,subj-ext,8,女孩,-,5006,headnoun,subject relative,-1
11,11,obj-ext,8,球員,-,373,headnoun,object relative,1
11,8,subj-ext,8,業餘選手,-,813,headnoun,subject relative,-1
11,2,subj-ext,8,車,-,603,headnoun,subject relative,-1
11,10,subj-ext,8,住戶,-,574,headnoun,subject relative,-1
11,9,obj-ext,8,探員,-,349,headnoun,object relative,1
11,16,subj-ext,8,記者,-,382,headnoun,subject relative,-1
11,3,obj-ext,8,婦人,-,366,headnoun,object relative,1
11,15,obj-ext,8,演員,-,362,headnoun,object relative,1
11,4,subj-ext,8,女孩,-,430,headnoun,subject relative,-1
11,1,obj-ext,8,人,-,286,headnoun,object relative,1
11,14,subj-ext,8,空服員,-,270,headnoun,subject relative,-1
11,7,obj-ext,8,狗,-,302,headnoun,object relative,1
12,11,subj-ext,8,球員,-,686,headnoun,subject relative,-1
12,10,obj-ext,8,住戶,-,626,headnoun,object relative,1
12,4,obj-ext,8,女孩,-,1328,headnoun,object relative,1
12,16,obj-ext,8,記者,-,580,headnoun,object relative,1
12,13,subj-ext,8,男人,-,6217,headnoun,subject relative,-1
12,8,obj-ext,8,業餘選手,-,1019,headnoun,object relative,1
12,2,obj-ext,8,車,-,714,headnoun,object relative,1
12,5,subj-ext,8,轎車,-,1136,headnoun,subject relative,-1
12,15,subj-ext,8,演員,-,642,headnoun,subject relative,-1
12,14,obj-ext,8,空服員,-,2308,headnoun,object relative,1
12,3,subj-ext,8,婦人,-,717,headnoun,subject relative,-1
12,6,obj-ext,8,女孩,-,641,headnoun,object relative,1
12,1,subj-ext,8,人,-,1361,headnoun,subject relative,-1
12,9,subj-ext,8,探員,-,552,headnoun,subject relative,-1
12,7,subj-ext,8,狗,-,742,headnoun,subject relative,-1
14,4,obj-ext,8,女孩,-,976,headnoun,object relative,1
14,1,subj-ext,8,人,-,582,headnoun,subject relative,-1
14,6,obj-ext,8,女孩,-,334,headnoun,object relative,1
14,13,subj-ext,8,男人,-,1360,headnoun,subject relative,-1
14,11,subj-ext,8,球員,-,422,headnoun,subject relative,-1
14,9,subj-ext,8,探員,-,1128,headnoun,subject relative,-1
14,15,subj-ext,8,演員,-,526,headnoun,subject relative,-1
14,2,obj-ext,8,車,-,502,headnoun,object relative,1
14,7,subj-ext,8,狗,-,497,headnoun,subject relative,-1
14,5,subj-ext,8,轎車,-,695,headnoun,subject relative,-1
14,16,obj-ext,8,記者,-,302,headnoun,object relative,1
14,14,obj-ext,8,空服員,-,1015,headnoun,object relative,1
14,10,obj-ext,8,住戶,-,350,headnoun,object relative,1
14,8,obj-ext,8,業餘選手,-,1641,headnoun,object relative,1
14,3,subj-ext,8,婦人,-,494,headnoun,subject relative,-1
15,9,obj-ext,8,探員,-,551,headnoun,object relative,1
15,6,subj-ext,8,女孩,-,472,headnoun,subject relative,-1
15,3,obj-ext,8,婦人,-,616,headnoun,object relative,1
15,4,subj-ext,8,女孩,-,387,headnoun,subject relative,-1
15,7,obj-ext,8,狗,-,385,headnoun,object relative,1
15,13,obj-ext,8,男人,-,342,headnoun,object relative,1
15,1,obj-ext,8,人,-,238,headnoun,object relative,1
15,15,obj-ext,8,演員,-,607,headnoun,object relative,1
15,11,obj-ext,8,球員,-,263,headnoun,object relative,1
15,14,subj-ext,8,空服員,-,287,headnoun,subject relative,-1
15,5,obj-ext,8,轎車,-,678,headnoun,object relative,1
15,2,subj-ext,8,車,-,263,headnoun,subject relative,-1
15,10,subj-ext,8,住戶,-,313,headnoun,subject relative,-1
15,16,subj-ext,8,記者,-,294,headnoun,subject relative,-1
15,8,subj-ext,8,業餘選手,-,252,headnoun,subject relative,-1
16,16,obj-ext,8,記者,-,1373,headnoun,object relative,1
16,2,obj-ext,8,車,-,353,headnoun,object relative,1
16,13,subj-ext,8,男人,-,335,headnoun,subject relative,-1
16,15,subj-ext,8,演員,-,725,headnoun,subject relative,-1
16,5,subj-ext,8,轎車,-,355,headnoun,subject relative,-1
16,8,obj-ext,8,業餘選手,-,910,headnoun,object relative,1
16,4,obj-ext,8,女孩,-,395,headnoun,object relative,1
16,1,subj-ext,8,人,-,340,headnoun,subject relative,-1
16,9,subj-ext,8,探員,-,335,headnoun,subject relative,-1
16,14,obj-ext,8,空服員,-,442,headnoun,object relative,1
16,11,subj-ext,8,球員,-,1072,headnoun,subject relative,-1
16,3,subj-ext,8,婦人,-,350,headnoun,subject relative,-1
16,7,subj-ext,8,狗,-,300,headnoun,subject relative,-1
16,10,obj-ext,8,住戶,-,433,headnoun,object relative,1
16,6,obj-ext,8,女孩,-,270,headnoun,object relative,1
17,16,subj-ext,8,記者,-,597,headnoun,subject relative,-1
17,5,obj-ext,8,轎車,-,635,headnoun,object relative,1
17,6,subj-ext,8,女孩,-,420,headnoun,subject relative,-1
17,7,obj-ext,8,狗,-,483,headnoun,object relative,1
17,2,subj-ext,8,車,-,391,headnoun,subject relative,-1
17,10,subj-ext,8,住戶,-,676,headnoun,subject relative,-1
17,3,obj-ext,8,婦人,-,878,headnoun,object relative,1
17,8,subj-ext,8,業餘選手,-,424,headnoun,subject relative,-1
17,14,subj-ext,8,空服員,-,337,headnoun,subject relative,-1
17,15,obj-ext,8,演員,-,494,headnoun,object relative,1
17,9,obj-ext,8,探員,-,531,headnoun,object relative,1
17,13,obj-ext,8,男人,-,897,headnoun,object relative,1
17,1,obj-ext,8,人,-,417,headnoun,object relative,1
17,11,obj-ext,8,球員,-,383,headnoun,object relative,1
17,4,subj-ext,8,女孩,-,345,headnoun,subject relative,-1
18,1,subj-ext,8,人,-,302,headnoun,subject relative,-1
18,11,subj-ext,8,球員,-,318,headnoun,subject relative,-1
18,15,subj-ext,8,演員,-,510,headnoun,subject relative,-1
18,5,subj-ext,8,轎車,-,4649,headnoun,subject relative,-1
18,3,subj-ext,8,婦人,-,1344,headnoun,subject relative,-1
18,8,obj-ext,8,業餘選手,-,639,headnoun,object relative,1
18,14,obj-ext,8,空服員,-,454,headnoun,object relative,1
18,10,obj-ext,8,住戶,-,310,headnoun,object relative,1
18,6,obj-ext,8,女孩,-,486,headnoun,object relative,1
18,4,obj-ext,8,女孩,-,310,headnoun,object relative,1
18,9,subj-ext,8,探員,-,318,headnoun,subject relative,-1
18,16,obj-ext,8,記者,-,294,headnoun,object relative,1
18,2,obj-ext,8,車,-,301,headnoun,object relative,1
18,13,subj-ext,8,男人,-,238,headnoun,subject relative,-1
18,7,subj-ext,8,狗,-,254,headnoun,subject relative,-1
19,7,obj-ext,8,狗,-,265,headnoun,object relative,1
19,13,obj-ext,8,男人,-,208,headnoun,object relative,1
19,10,subj-ext,8,住戶,-,189,headnoun,subject relative,-1
19,9,obj-ext,8,探員,-,224,headnoun,object relative,1
19,5,obj-ext,8,轎車,-,241,headnoun,object relative,1
19,2,subj-ext,8,車,-,251,headnoun,subject relative,-1
19,16,subj-ext,8,記者,-,202,headnoun,subject relative,-1
19,3,obj-ext,8,婦人,-,243,headnoun,object relative,1
19,11,obj-ext,8,球員,-,179,headnoun,object relative,1
19,1,obj-ext,8,人,-,172,headnoun,object relative,1
19,6,subj-ext,8,女孩,-,191,headnoun,subject relative,-1
19,4,subj-ext,8,女孩,-,194,headnoun,subject relative,-1
19,8,subj-ext,8,業餘選手,-,1652,headnoun,subject relative,-1
19,14,subj-ext,8,空服員,-,196,headnoun,subject relative,-1
19,15,obj-ext,8,演員,-,199,headnoun,object relative,1
2,6,obj-ext,8,女孩,-,414,headnoun,object relative,1
2,15,subj-ext,8,演員,-,847,headnoun,subject relative,-1
2,11,subj-ext,8,球員,-,230,headnoun,subject relative,-1
2,5,subj-ext,8,轎車,-,390,headnoun,subject relative,-1
2,16,obj-ext,8,記者,-,550,headnoun,object relative,1
2,13,subj-ext,8,男人,-,342,headnoun,subject relative,-1
2,14,obj-ext,8,空服員,-,373,headnoun,object relative,1
2,3,subj-ext,8,婦人,-,254,headnoun,subject relative,-1
2,8,obj-ext,8,業餘選手,-,582,headnoun,object relative,1
2,2,obj-ext,8,車,-,278,headnoun,object relative,1
2,9,subj-ext,8,探員,-,389,headnoun,subject relative,-1
2,10,obj-ext,8,住戶,-,262,headnoun,object relative,1
2,7,subj-ext,8,狗,-,318,headnoun,subject relative,-1
2,1,subj-ext,8,人,-,286,headnoun,subject relative,-1
2,4,obj-ext,8,女孩,-,734,headnoun,object relative,1
20,10,obj-ext,8,住戶,-,1384,headnoun,object relative,1
20,1,subj-ext,8,人,-,253,headnoun,subject relative,-1
20,3,subj-ext,8,婦人,-,274,headnoun,subject relative,-1
20,6,obj-ext,8,女孩,-,238,headnoun,object relative,1
20,16,obj-ext,8,記者,-,330,headnoun,object relative,1
20,8,obj-ext,8,業餘選手,-,1048,headnoun,object relative,1
20,4,obj-ext,8,女孩,-,243,headnoun,object relative,1
20,14,obj-ext,8,空服員,-,255,headnoun,object relative,1
20,5,subj-ext,8,轎車,-,437,headnoun,subject relative,-1
20,7,subj-ext,8,狗,-,254,headnoun,subject relative,-1
20,15,subj-ext,8,演員,-,265,headnoun,subject relative,-1
20,11,subj-ext,8,球員,-,207,headnoun,subject relative,-1
20,13,subj-ext,8,男人,-,259,headnoun,subject relative,-1
20,2,obj-ext,8,車,-,243,headnoun,object relative,1
20,9,subj-ext,8,探員,-,197,headnoun,subject relative,-1
21,9,obj-ext,8,探員,-,245,headnoun,object relative,1
21,7,obj-ext,8,狗,-,807,headnoun,object relative,1
21,11,obj-ext,8,球員,-,1112,headnoun,object relative,1
21,13,obj-ext,8,男人,-,334,headnoun,object relative,1
21,5,obj-ext,8,轎車,-,319,headnoun,object relative,1
21,4,subj-ext,8,女孩,-,823,headnoun,subject relative,-1
21,10,subj-ext,8,住戶,-,302,headnoun,subject relative,-1
21,8,subj-ext,8,業餘選手,-,253,headnoun,subject relative,-1
21,2,subj-ext,8,車,-,246,headnoun,subject relative,-1
21,6,subj-ext,8,女孩,-,221,headnoun,subject relative,-1
21,1,obj-ext,8,人,-,262,headnoun,object relative,1
21,16,subj-ext,8,記者,-,301,headnoun,subject relative,-1
21,3,obj-ext,8,婦人,-,246,headnoun,object relative,1
21,14,subj-ext,8,空服員,-,288,headnoun,subject relative,-1
21,15,obj-ext,8,演員,-,253,headnoun,object relative,1
22,13,subj-ext,8,男人,-,4383,headnoun,subject relative,-1
22,11,subj-ext,8,球員,-,342,headnoun,subject relative,-1
22,3,subj-ext,8,婦人,-,611,headnoun,subject relative,-1
22,6,obj-ext,8,女孩,-,559,headnoun,object relative,1
22,2,obj-ext,8,車,-,493,headnoun,object relative,1
22,16,obj-ext,8,記者,-,508,headnoun,object relative,1
22,4,obj-ext,8,女孩,-,415,headnoun,object relative,1
22,10,obj-ext,8,住戶,-,303,headnoun,object relative,1
22,5,subj-ext,8,轎車,-,3796,headnoun,subject relative,-1
22,7,subj-ext,8,狗,-,352,headnoun,subject relative,-1
22,14,obj-ext,8,空服員,-,1483,headnoun,object relative,1
22,1,subj-ext,8,人,-,594,headnoun,subject relative,-1
22,15,subj-ext,8,演員,-,291,headnoun,subject relative,-1
22,9,subj-ext,8,探員,-,702,headnoun,subject relative,-1
22,8,obj-ext,8,業餘選手,-,340,headnoun,object relative,1
23,5,obj-ext,8,轎車,-,807,headnoun,object relative,1
23,11,obj-ext,8,球員,-,639,headnoun,object relative,1
23,1,obj-ext,8,人,-,374,headnoun,object relative,1
23,3,obj-ext,8,婦人,-,446,headnoun,object relative,1
23,4,subj-ext,8,女孩,-,1248,headnoun,subject relative,-1
23,16,subj-ext,8,記者,-,2507,headnoun,subject relative,-1
23,15,obj-ext,8,演員,-,534,headnoun,object relative,1
23,9,obj-ext,8,探員,-,349,headnoun,object relative,1
23,8,subj-ext,8,業餘選手,-,630,headnoun,subject relative,-1
23,2,subj-ext,8,車,-,406,headnoun,subject relative,-1
23,10,subj-ext,8,住戶,-,270,headnoun,subject relative,-1
23,6,subj-ext,8,女孩,-,454,headnoun,subject relative,-1
23,13,obj-ext,8,男人,-,1079,headnoun,object relative,1
23,7,obj-ext,8,狗,-,366,headnoun,object relative,1
23,14,subj-ext,8,空服員,-,213,headnoun,subject relative,-1
24,5,subj-ext,8,轎車,-,741,headnoun,subject relative,-1
24,16,obj-ext,8,記者,-,306,headnoun,object relative,1
24,14,obj-ext,8,空服員,-,349,headnoun,object relative,1
24,8,obj-ext,8,業餘選手,-,987,headnoun,object relative,1
24,1,subj-ext,8,人,-,670,headnoun,subject relative,-1
24,15,subj-ext,8,演員,-,444,headnoun,subject relative,-1
24,11,subj-ext,8,球員,-,513,headnoun,subject relative,-1
24,7,subj-ext,8,狗,-,309,headnoun,subject relative,-1
24,6,obj-ext,8,女孩,-,572,headnoun,object relative,1
24,10,obj-ext,8,住戶,-,706,headnoun,object relative,1
24,13,subj-ext,8,男人,-,3145,headnoun,subject relative,-1
24,2,obj-ext,8,車,-,576,headnoun,object relative,1
24,4,obj-ext,8,女孩,-,650,headnoun,object relative,1
24,9,subj-ext,8,探員,-,370,headnoun,subject relative,-1
24,3,subj-ext,8,婦人,-,555,headnoun,subject relative,-1
26,16,obj-ext,8,記者,-,470,headnoun,object relative,1
26,3,subj-ext,8,婦人,-,470,headnoun,subject relative,-1
26,15,subj-ext,8,演員,-,358,headnoun,subject relative,-1
26,4,obj-ext,8,女孩,-,318,headnoun,object relative,1
26,8,obj-ext,8,業餘選手,-,582,headnoun,object relative,1
26,6,obj-ext,8,女孩,-,326,headnoun,object relative,1
26,11,subj-ext,8,球員,-,438,headnoun,subject relative,-1
26,1,subj-ext,8,人,-,534,headnoun,subject relative,-1
26,2,obj-ext,8,車,-,542,headnoun,object relative,1
26,13,subj-ext,8,男人,-,422,headnoun,subject relative,-1
26,10,obj-ext,8,住戶,-,358,headnoun,object relative,1
26,7,subj-ext,8,狗,-,374,headnoun,subject relative,-1
26,9,subj-ext,8,探員,-,310,headnoun,subject relative,-1
26,5,subj-ext,8,轎車,-,366,headnoun,subject relative,-1
26,14,obj-ext,8,空服員,-,350,headnoun,object relative,1
27,3,obj-ext,8,婦人,-,360,headnoun,object relative,1
27,8,subj-ext,8,業餘選手,-,1060,headnoun,subject relative,-1
27,16,subj-ext,8,記者,-,515,headnoun,subject relative,-1
27,9,obj-ext,8,探員,-,280,headnoun,object relative,1
27,1,obj-ext,8,人,-,367,headnoun,object relative,1
27,15,obj-ext,8,演員,-,683,headnoun,object relative,1
27,13,obj-ext,8,男人,-,944,headnoun,object relative,1
28,11,subj-ext,8,球員,-,1096,headnoun,subject relative,-1
28,13,subj-ext,8,男人,-,1048,headnoun,subject relative,-1
28,8,obj-ext,8,業餘選手,-,470,headnoun,object relative,1
28,9,subj-ext,8,探員,-,526,headnoun,subject relative,-1
28,3,subj-ext,8,婦人,-,302,headnoun,subject relative,-1
28,4,obj-ext,8,女孩,-,230,headnoun,object relative,1
28,6,obj-ext,8,女孩,-,246,headnoun,object relative,1
28,7,subj-ext,8,狗,-,302,headnoun,subject relative,-1
28,16,obj-ext,8,記者,-,326,headnoun,object relative,1
28,2,obj-ext,8,車,-,382,headnoun,object relative,1
28,14,obj-ext,8,空服員,-,254,headnoun,object relative,1
28,15,subj-ext,8,演員,-,2988,headnoun,subject relative,-1
28,10,obj-ext,8,住戶,-,453,headnoun,object relative,1
28,5,subj-ext,8,轎車,-,406,headnoun,subject relative,-1
28,1,subj-ext,8,人,-,358,headnoun,subject relative,-1
29,3,obj-ext,8,婦人,-,374,headnoun,object relative,1
29,5,obj-ext,8,轎車,-,374,headnoun,object relative,1
29,11,obj-ext,8,球員,-,245,headnoun,object relative,1
29,1,obj-ext,8,人,-,285,headnoun,object relative,1
29,8,subj-ext,8,業餘選手,-,318,headnoun,subject relative,-1
29,13,obj-ext,8,男人,-,350,headnoun,object relative,1
29,6,subj-ext,8,女孩,-,213,headnoun,subject relative,-1
29,7,obj-ext,8,狗,-,285,headnoun,object relative,1
29,10,subj-ext,8,住戶,-,246,headnoun,subject relative,-1
29,16,subj-ext,8,記者,-,326,headnoun,subject relative,-1
29,15,obj-ext,8,演員,-,454,headnoun,object relative,1
29,2,subj-ext,8,車,-,278,headnoun,subject relative,-1
29,9,obj-ext,8,探員,-,189,headnoun,object relative,1
29,4,subj-ext,8,女孩,-,189,headnoun,subject relative,-1
29,14,subj-ext,8,空服員,-,206,headnoun,subject relative,-1
3,10,subj-ext,8,住戶,-,445,headnoun,subject relative,-1
3,14,subj-ext,8,空服員,-,1136,headnoun,subject relative,-1
3,5,obj-ext,8,轎車,-,312,headnoun,object relative,1
3,11,obj-ext,8,球員,-,303,headnoun,object relative,1
3,16,subj-ext,8,記者,-,322,headnoun,subject relative,-1
3,6,subj-ext,8,女孩,-,291,headnoun,subject relative,-1
3,8,subj-ext,8,業餘選手,-,454,headnoun,subject relative,-1
3,9,obj-ext,8,探員,-,352,headnoun,object relative,1
3,13,obj-ext,8,男人,-,314,headnoun,object relative,1
3,1,obj-ext,8,人,-,313,headnoun,object relative,1
3,7,obj-ext,8,狗,-,269,headnoun,object relative,1
3,3,obj-ext,8,婦人,-,349,headnoun,object relative,1
3,2,subj-ext,8,車,-,283,headnoun,subject relative,-1
3,15,obj-ext,8,演員,-,1860,headnoun,object relative,1
3,4,subj-ext,8,女孩,-,1053,headnoun,subject relative,-1
30,2,obj-ext,8,車,-,372,headnoun,object relative,1
30,11,subj-ext,8,球員,-,349,headnoun,subject relative,-1
30,6,obj-ext,8,女孩,-,290,headnoun,object relative,1
30,10,obj-ext,8,住戶,-,334,headnoun,object relative,1
30,15,subj-ext,8,演員,-,482,headnoun,subject relative,-1
30,5,subj-ext,8,轎車,-,573,headnoun,subject relative,-1
30,16,obj-ext,8,記者,-,437,headnoun,object relative,1
30,3,subj-ext,8,婦人,-,302,headnoun,subject relative,-1
30,13,subj-ext,8,男人,-,451,headnoun,subject relative,-1
30,7,subj-ext,8,狗,-,516,headnoun,subject relative,-1
30,8,obj-ext,8,業餘選手,-,539,headnoun,object relative,1
30,9,subj-ext,8,探員,-,285,headnoun,subject relative,-1
30,1,subj-ext,8,人,-,281,headnoun,subject relative,-1
30,14,obj-ext,8,空服員,-,554,headnoun,object relative,1
30,4,obj-ext,8,女孩,-,279,headnoun,object relative,1
31,16,subj-ext,8,記者,-,406,headnoun,subject relative,-1
31,10,subj-ext,8,住戶,-,366,headnoun,subject relative,-1
31,6,subj-ext,8,女孩,-,414,headnoun,subject relative,-1
31,15,obj-ext,8,演員,-,302,headnoun,object relative,1
31,2,subj-ext,8,車,-,438,headnoun,subject relative,-1
31,7,obj-ext,8,狗,-,254,headnoun,object relative,1
31,11,obj-ext,8,球員,-,470,headnoun,object relative,1
31,1,obj-ext,8,人,-,286,headnoun,object relative,1
31,14,subj-ext,8,空服員,-,430,headnoun,subject relative,-1
31,3,obj-ext,8,婦人,-,246,headnoun,object relative,1
31,8,subj-ext,8,業餘選手,-,3285,headnoun,subject relative,-1
31,13,obj-ext,8,男人,-,286,headnoun,object relative,1
31,9,obj-ext,8,探員,-,278,headnoun,object relative,1
31,5,obj-ext,8,轎車,-,374,headnoun,object relative,1
31,4,subj-ext,8,女孩,-,214,headnoun,subject relative,-1
32,9,subj-ext,8,探員,-,369,headnoun,subject relative,-1
32,3,subj-ext,8,婦人,-,361,headnoun,subject relative,-1
32,15,subj-ext,8,演員,-,240,headnoun,subject relative,-1
32,8,obj-ext,8,業餘選手,-,252,headnoun,object relative,1
32,16,obj-ext,8,記者,-,345,headnoun,object relative,1
32,7,subj-ext,8,狗,-,220,headnoun,subject relative,-1
32,10,obj-ext,8,住戶,-,333,headnoun,object relative,1
32,6,obj-ext,8,女孩,-,244,headnoun,object relative,1
32,5,subj-ext,8,轎車,-,250,headnoun,subject relative,-1
32,1,subj-ext,8,人,-,299,headnoun,subject relative,-1
