voto_30,is_female,hours
24.87,1,1.0666666666666667
25.26,1,1.0666666666666667
26.45,1,1.4333333333333333
20.53,1,1.25
26.84,1,1.4
18.16,1,1.6833333333333333
13.82,1,1.7333333333333334
26.45,1,1.5
15.79,0,1.5333333333333334
11.84,0,1.5833333333333333
16.58,1,1.5166666666666666
13.82,0,1.6666666666666667
16.18,1,1.2833333333333334
24.87,0,1.5166666666666666
23.29,1,1.55
15.39,1,1.5666666666666667
19.74,0,1.35
14.61,1,1.4833333333333334
21.71,1,1.5166666666666666
17.76,1,1.3833333333333333
28.03,1,1.2833333333333334
6.71,1,1.6833333333333333
24.87,0,1.4833333333333334
17.76,1,1.4666666666666666
14.21,0,1.7333333333333334
25.26,0,1.5666666666666667
24.87,1,1.3166666666666667
24.87,1,1.3666666666666667
14.61,1,1.1
20.13,0,1.4833333333333334
17.37,1,1.55
17.76,1,1.4166666666666667
21.32,1,1.0666666666666667
15.39,1,1.4
24.87,1,1.4666666666666666
18.55,1,1.25
25.26,1,1.1
9.08,1,1.7333333333333334
17.76,1,1.3
20.13,0,1.6833333333333333
16.18,1,1.0
3.55,1,1.2333333333333334
24.87,0,1.5666666666666667
21.32,1,1.4666666666666666
22.89,0,1.35
28.03,1,1.2
21.32,0,1.3
19.74,1,1.0
26.84,1,1.05
14.21,0,1.4333333333333333
23.29,1,1.1166666666666667
28.03,1,1.0833333333333333
18.55,1,1.5666666666666667
22.89,1,1.1666666666666667
22.89,1,1.45
18.55,1,58.43333333333333
7.5,1,1.7333333333333334
25.26,1,1.5333333333333334
26.45,0,1.0166666666666666
12.63,0,1.2833333333333334
19.74,0,1.3666666666666667
9.47,0,1.6666666666666667
15.39,1,1.7
26.45,1,1.25
17.37,0,1.1833333333333333
16.58,0,1.55
13.42,1,1.5666666666666667
26.45,0,1.05
20.92,0,1.15
23.29,0,1.1166666666666667
21.32,0,1.4
18.55,1,1.6666666666666667
25.26,0,1.2666666666666666
22.89,1,1.4166666666666667
26.45,1,1.3166666666666667
21.71,0,1.4833333333333334
21.71,1,1.4333333333333333
18.16,1,1.3166666666666667
22.5,0,1.0
17.37,1,1.0166666666666666
26.45,0,1.0333333333333334
8.68,1,1.2333333333333334
19.34,1,59.43333333333333
25.26,1,1.25
23.29,1,1.4333333333333333
22.5,1,1.3833333333333333
22.5,1,1.3833333333333333
28.42,0,1.4166666666666667
26.05,1,1.5166666666666666
20.92,0,1.5
23.68,0,1.5666666666666667
18.16,1,1.4166666666666667
26.84,1,1.5
28.03,0,1.4166666666666667
13.03,1,1.2666666666666666
19.34,1,59.65
16.58,1,1.55
22.89,1,1.4166666666666667
24.87,0,1.1
10.26,1,1.7333333333333334
14.21,1,1.6833333333333333
24.87,1,1.2333333333333334
14.61,1,1.1833333333333333
0.79,1,1.3833333333333333
16.18,1,1.4833333333333334
28.03,0,1.7333333333333334
21.71,1,1.5666666666666667
26.45,1,1.2666666666666666
15.79,0,1.3
22.89,0,1.35
21.32,1,1.0333333333333334
20.13,1,1.2833333333333334
21.32,1,1.6666666666666667
24.47,1,1.2666666666666666
17.76,1,1.3166666666666667
26.45,1,1.25
19.74,1,1.4166666666666667
23.29,0,1.5333333333333334
24.08,1,1.2666666666666666
19.74,1,1.2666666666666666
22.11,0,1.6166666666666667
24.87,0,55.81666666666667
26.45,1,1.4833333333333334
26.45,1,1.2833333333333334
11.05,1,1.5333333333333334
19.74,0,1.3333333333333333
10.66,1,1.5333333333333334
20.92,1,1.2333333333333334
9.47,1,1.3833333333333333
15.39,0,1.15
18.16,1,1.6666666666666667
15.79,1,1.3333333333333333
10.66,1,1.6166666666666667
18.16,1,1.6166666666666667
20.13,1,1.55
14.21,0,1.3666666666666667
24.47,1,1.2666666666666666
24.87,0,1.1833333333333333
16.18,0,1.65
19.34,1,1.2666666666666666
20.92,1,1.2166666666666666
11.84,0,59.65
15.79,1,1.2666666666666666
15.79,1,1.3
21.71,0,1.3833333333333333
20.13,1,1.45
19.74,0,1.6666666666666667
18.16,1,1.3166666666666667
26.45,1,1.6166666666666667
19.34,1,1.5
26.45,0,1.4333333333333333
26.05,1,50.45
28.03,1,1.0166666666666666
22.5,1,47.53333333333333
19.34,0,1.2833333333333334
15.0,1,1.2833333333333334
18.55,0,1.1666666666666667
18.55,0,1.5666666666666667
19.34,0,1.2333333333333334
14.21,1,1.2
13.82,0,1.2833333333333334
13.42,0,1.5666666666666667
15.39,1,1.2333333333333334
5.13,1,1.5833333333333333
22.89,1,1.2
17.37,1,1.2166666666666666
20.13,0,1.25
24.08,1,1.3166666666666667
19.34,0,1.35
13.42,1,1.3833333333333333
18.16,0,1.2833333333333334
13.42,0,1.2
18.55,1,1.45
24.87,0,1.35
26.05,1,1.4
20.92,1,1.4666666666666666
25.26,1,56.43333333333333
28.42,0,1.35
23.29,1,1.3833333333333333
24.87,0,1.3
17.76,0,58.38333333333333
12.24,1,1.55
28.03,0,1.0833333333333333
30.0,0,1.6166666666666667
20.92,1,1.2333333333333334
22.89,1,1.2166666666666666
19.74,0,1.1666666666666667
25.26,0,1.05
24.87,1,1.3
28.42,0,1.0333333333333334
22.5,1,1.4833333333333334
18.16,1,1.1166666666666667
22.89,1,1.15
4.74,0,1.0833333333333333
8.68,0,1.2
21.71,0,1.2166666666666666
