subj_idx,trial,response,rt,resp
e4m2hk9m4ldb8qq,256,0,0.649144999973942,1
e4m2hk9m4ldb8qq,260,0,0.679564999998547,1
e4m2hk9m4ldb8qq,265,0,0.545794999983627,1
e4m2hk9m4ldb8qq,274,0,0.595209999999497,1
e4m2hk9m4ldb8qq,299,0,0.698680000030436,1
e4m2hk9m4ldb8qq,319,0,0.675179999961983,1
e4m2hk9m4ldb8qq,368,0,0.614430000016,1
e4m2hk9m4ldb8qq,379,0,0.562640000018291,1
e4m2hk9m4ldb8qq,392,0,0.877470000006724,1
e4m2hk9m4ldb8qq,393,0,0.586240000033286,1
e4m2hk9m4ldb8qq,407,0,0.788245000003371,1
e4m2hk9m4ldb8qq,427,0,0.517439999966882,1
e4m2hk9m4ldb8qq,439,0,0.632969999976922,1
e4m2hk9m4ldb8qq,445,0,0.582745000021532,1
e4m2hk9m4ldb8qq,507,0,0.515675000031479,1
e4m2hk9m4ldb8qq,508,0,0.496564999979455,1
e4m2hk9m4ldb8qq,521,0,0.498250000004191,1
e4m2hk9m4ldb8qq,525,0,0.452519999991637,1
e4m2hk9m4ldb8qq,540,1,2.24212999996962,0
e4m2hk9m4ldb8qq,560,1,0.730349999968894,0
e4m2hk9m4ldb8qq,576,1,0.833349999971688,0
e4m2hk9m4ldb8qq,581,1,0.731124999991152,0
e4m2hk9m4ldb8qq,598,1,0.92655500001274,0
e4m2hk9m4ldb8qq,620,1,0.654240000003483,0
e8mone1mz96y0ht,11,1,0.573160000145435,0
e8mone1mz96y0ht,25,1,0.90989000024274,0
e8mone1mz96y0ht,39,1,0.7256950000301,0
e8mone1mz96y0ht,44,1,0.764854999724776,0
e8mone1mz96y0ht,45,1,0.501310000196099,0
e8mone1mz96y0ht,81,0,8.88678500009701,1
e8mone1mz96y0ht,111,0,0.492769999895245,1
e8mone1mz96y0ht,115,0,0.51602999959141,1
e8mone1mz96y0ht,131,1,0.798090000171214,0
e8mone1mz96y0ht,137,0,0.748724999837577,1
e8mone1mz96y0ht,154,0,0.57357499981299,1
e8mone1mz96y0ht,156,1,0.429140000138432,0
e8mone1mz96y0ht,219,0,0.467769999988377,1
e8mone1mz96y0ht,221,0,0.387339999899268,1
e8mone1mz96y0ht,230,0,0.364895000122488,1
e8mone1mz96y0ht,246,0,0.35759500041604,1
e8mone1mz96y0ht,249,0,0.388360000215471,1
e8mone1mz96y0ht,317,0,0.284059999976307,1
e8mone1mz96y0ht,345,0,0.757670000195503,1
e8mone1mz96y0ht,350,0,2.26885000010952,1
e8mone1mz96y0ht,359,0,5.66917499992997,1
e8mone1mz96y0ht,363,0,0.741154999937862,1
e8mone1mz96y0ht,375,1,0.869540000334382,0
e8mone1mz96y0ht,415,0,0.621029999572784,1
e8mone1mz96y0ht,454,0,0.468125000130385,1
e8mone1mz96y0ht,459,0,0.491055000107735,1
e8mone1mz96y0ht,511,0,0.629939999897033,1
e8mone1mz96y0ht,524,0,0.48429000005126,1
e8mone1mz96y0ht,528,0,0.48547499999404,1
e8mone1mz96y0ht,537,0,1.01385500002652,1
