day,bysubj_day,date,time_window,context,nervous,upset,satisfied,happy,scs_pos_1,scs_neg_2,scs_pos_3,scs_neg_4,scs_neg_5,scs_pos_6,scs_pos_7,scs_neg_8,id
2,1,2022-04-09,2,-1,4,3,2,1,3,4,6,3,2,4,3,5,36
2,1,2022-04-09,3,0,3,3,3,2,3,4,6,3,3,4,3,4,36
3,2,2022-04-16,2,0,3,3,2,4,5,6,6,3,4,5,4,5,36
3,2,2022-04-16,3,1,3,2,2,4,2,5,6,2,4,4,4,4,36
3,2,2022-04-16,4,1,3,4,2,2,3,5,6,4,5,4,4,5,36
3,2,2022-04-16,5,-1,4,4,2,1,2,5,5,3,5,4,3,4,36
4,3,2022-04-23,2,0,2,3,2,3,2,3,5,3,5,5,5,3,36
4,3,2022-04-23,3,1,2,2,2,4,2,3,5,5,3,4,4,5,36
4,3,2022-04-23,4,-1,4,4,2,1,2,4,5,4,4,4,3,5,36
4,3,2022-04-23,5,0,2,4,2,3,1,4,6,2,4,5,4,5,36
5,4,2022-04-30,2,-1,4,5,2,2,3,5,4,5,5,2,2,5,36
5,4,2022-04-30,4,0,4,4,2,4,4,5,5,4,5,4,3,4,36
5,4,2022-04-30,5,0,4,4,2,1,5,4,4,5,5,4,2,5,36
6,5,2022-05-07,2,-2,3,4,2,2,1,5,5,5,4,4,4,4,36
6,5,2022-05-07,4,0,3,3,2,2,2,4,5,3,4,4,4,4,36
6,5,2022-05-07,5,1,4,4,3,2,2,4,5,4,4,5,3,4,36
7,6,2022-05-14,1,-1,4,4,2,2,4,4,5,4,4,4,2,4,36
7,6,2022-05-14,2,0,2,3,2,2,4,3,5,4,4,4,4,4,36
7,6,2022-05-14,3,-1,4,4,2,1,3,5,4,4,6,4,2,4,36
7,6,2022-05-14,4,1,2,3,2,3,3,4,4,4,4,4,4,4,36
7,6,2022-05-14,5,0,4,3,2,2,2,4,4,4,5,5,2,4,36
8,7,2022-05-21,2,-1,4,3,2,2,2,4,4,5,5,4,3,4,36
8,7,2022-05-21,3,0,2,2,2,3,3,4,4,4,4,4,3,4,36
8,7,2022-05-21,4,0,4,4,2,2,2,4,4,4,5,4,2,4,36
8,7,2022-05-21,5,1,3,3,2,2,3,4,4,4,4,4,4,4,36
9,8,2022-05-28,1,-1,3,3,3,2,2,4,4,4,4,4,3,4,36
9,8,2022-05-28,2,0,3,3,2,2,3,4,4,4,5,4,2,4,36
9,8,2022-05-28,3,0,2,4,2,2,2,5,4,4,5,4,2,4,36
9,8,2022-05-28,4,1,3,4,2,2,3,4,5,4,5,4,4,5,36
9,8,2022-05-28,5,1,2,3,3,2,2,4,4,4,5,4,3,4,36
2,1,2022-04-09,2,-1,1,1,3,3,5,2,3,4,3,4,4,2,127
2,1,2022-04-09,3,1,1,2,3,3,4,2,4,3,2,4,4,4,127
2,1,2022-04-09,4,1,1,1,3,3,5,2,4,4,2,4,4,4,127
2,1,2022-04-09,5,0,4,3,3,2,4,4,2,5,4,4,4,5,127
3,2,2022-04-16,2,1,1,1,4,4,4,2,4,2,3,4,4,4,127
3,2,2022-04-16,3,1,1,1,4,4,4,2,3,2,4,4,4,5,127
3,2,2022-04-16,4,1,1,1,4,4,4,3,5,4,3,5,4,4,127
3,2,2022-04-16,5,1,1,1,4,4,4,4,4,4,4,4,4,4,127
4,3,2022-04-23,1,1,2,2,4,4,3,2,4,4,3,4,4,4,127
4,3,2022-04-23,4,1,1,1,4,4,4,2,3,3,3,4,4,5,127
4,3,2022-04-23,5,1,1,1,3,4,4,3,4,4,2,4,4,4,127
6,4,2022-05-07,2,0,1,3,4,4,4,3,4,4,3,4,4,4,127
6,4,2022-05-07,3,1,2,2,3,3,4,4,4,4,4,4,4,4,127
6,4,2022-05-07,4,0,3,2,2,3,4,4,5,4,4,4,4,4,127
7,5,2022-05-14,2,1,4,4,2,1,3,4,2,4,4,2,3,4,127
7,5,2022-05-14,3,1,4,3,2,2,4,4,4,4,4,4,4,4,127
7,5,2022-05-14,4,1,4,2,2,2,4,4,4,4,4,4,3,4,127
7,5,2022-05-14,5,1,2,2,3,2,4,3,4,4,3,4,4,4,127
8,6,2022-05-21,4,1,2,2,3,4,4,4,4,3,4,4,4,4,127
8,6,2022-05-21,5,1,2,2,4,4,3,4,4,4,4,4,2,4,127
9,7,2022-05-28,2,1,2,2,3,3,3,2,4,4,4,4,4,3,127
9,7,2022-05-28,3,1,2,2,3,3,3,4,4,4,4,4,3,4,127
9,7,2022-05-28,4,1,2,3,2,3,4,4,4,4,4,4,4,4,127
9,7,2022-05-28,5,1,3,2,3,4,5,2,2,3,2,3,3,5,127
2,1,2022-04-09,1,0,2,1,3,4,4,2,5,3,1,5,5,5,150
2,1,2022-04-09,3,0,1,2,4,4,4,2,5,2,1,4,5,2,150
2,1,2022-04-09,4,1,2,2,2,3,4,4,4,2,2,2,4,2,150
2,1,2022-04-09,5,0,2,2,2,3,3,2,3,2,2,4,2,2,150
3,2,2022-04-16,1,-1,2,2,2,2,4,2,4,2,2,4,4,2,150
3,2,2022-04-16,2,0,2,1,2,3,4,2,2,4,1,4,4,2,150
3,2,2022-04-16,3,0,1,2,3,3,4,2,5,2,2,4,4,1,150
3,2,2022-04-16,4,0,2,2,3,4,5,2,4,2,1,5,5,2,150
3,2,2022-04-16,5,-1,4,4,2,2,3,4,4,2,2,4,2,5,150
4,3,2022-04-23,1,0,2,1,2,2,3,4,4,2,2,4,4,4,150
4,3,2022-04-23,2,0,3,3,2,2,2,2,4,2,3,4,2,2,150
4,3,2022-04-23,3,-1,4,5,1,1,2,5,5,4,2,2,2,4,150
4,3,2022-04-23,4,-2,4,4,1,1,1,5,5,5,4,2,2,5,150
5,4,2022-04-30,2,0,2,2,2,2,2,5,4,4,5,2,2,4,150
5,4,2022-04-30,3,0,3,3,2,1,2,5,4,4,5,2,2,5,150
5,4,2022-04-30,4,0,2,2,1,2,2,4,4,4,3,2,2,4,150
5,4,2022-04-30,5,0,2,2,2,3,3,3,4,4,4,3,4,2,150
6,5,2022-05-07,2,2,2,1,4,3,4,1,4,3,3,5,3,3,150
6,5,2022-05-07,3,-1,2,2,2,3,3,3,4,4,2,4,2,3,150
6,5,2022-05-07,4,0,2,2,3,3,3,3,4,4,2,5,4,3,150
6,5,2022-05-07,5,1,1,1,3,3,4,2,4,2,3,5,4,3,150
7,6,2022-05-14,1,0,2,3,2,2,2,5,4,5,5,3,3,4,150
7,6,2022-05-14,2,0,2,2,1,2,3,4,3,4,4,3,3,4,150
7,6,2022-05-14,3,0,2,2,2,3,4,3,4,4,3,4,4,3,150
7,6,2022-05-14,4,0,1,2,2,3,3,4,4,3,4,3,4,4,150
7,6,2022-05-14,5,-1,3,5,1,1,2,5,4,5,4,2,2,5,150
8,7,2022-05-21,2,0,2,2,1,2,3,5,3,5,4,3,2,5,150
8,7,2022-05-21,3,0,2,3,1,2,2,4,3,4,4,3,2,5,150
8,7,2022-05-21,4,0,2,2,1,2,2,4,3,4,4,3,2,4,150
8,7,2022-05-21,5,-2,4,5,1,1,2,5,2,5,5,2,2,6,150
9,8,2022-05-28,1,0,1,2,2,3,3,4,4,4,4,4,3,4,150
9,8,2022-05-28,2,-1,2,2,2,2,3,3,3,4,3,3,3,4,150
9,8,2022-05-28,3,0,2,2,2,2,3,3,4,4,3,3,4,4,150
9,8,2022-05-28,4,0,1,2,2,2,3,5,4,4,4,3,3,4,150
9,8,2022-05-28,5,-1,3,3,1,1,3,4,3,4,4,3,2,4,150
10,9,2022-06-04,1,0,1,2,1,2,2,5,4,4,5,2,2,5,150
10,9,2022-06-04,2,0,1,2,1,2,3,4,3,4,4,3,4,4,150
10,9,2022-06-04,3,0,1,2,2,2,3,5,4,4,4,3,3,4,150
10,9,2022-06-04,4,0,2,2,1,3,3,4,4,4,4,3,3,3,150
10,9,2022-06-04,5,0,2,1,1,2,3,5,3,5,5,3,2,3,150
1,1,2022-04-02,1,1,1,1,4,5,5,1,5,4,1,4,4,6,227
1,1,2022-04-02,2,2,1,1,4,5,5,1,5,4,4,4,4,6,227
1,1,2022-04-02,3,1,1,1,4,5,5,1,4,2,2,4,5,4,227
1,1,2022-04-02,4,2,1,1,4,5,5,1,4,4,1,4,4,5,227
1,1,2022-04-02,5,1,1,1,4,4,5,1,4,4,4,4,2,5,227
2,2,2022-04-09,2,1,1,1,4,4,5,1,4,4,2,4,4,5,227
2,2,2022-04-09,4,2,1,1,4,5,5,1,4,3,1,4,4,4,227
3,3,2022-04-16,2,1,1,1,4,5,4,1,4,3,1,6,4,4,227
3,3,2022-04-16,3,2,1,1,5,4,4,1,4,4,1,4,4,4,227
3,3,2022-04-16,5,1,1,1,4,5,4,1,4,2,2,4,4,4,227
5,4,2022-04-30,1,1,1,1,4,5,4,1,4,4,2,4,4,4,227
5,4,2022-04-30,2,2,1,1,4,4,4,1,4,3,2,4,4,4,227
5,4,2022-04-30,4,1,1,1,4,4,4,1,4,3,2,4,4,4,227
6,5,2022-05-07,5,1,1,1,4,4,4,3,4,3,1,4,4,4,227
7,6,2022-05-14,2,0,2,1,4,3,4,1,4,2,1,4,5,5,227
9,7,2022-05-28,2,1,1,1,3,4,4,1,4,3,1,4,5,4,227
1,1,2022-04-02,2,0,2,2,3,3,4,3,4,5,2,5,3,4,25
1,1,2022-04-02,3,1,2,2,3,4,4,2,5,3,2,5,3,5,25
1,1,2022-04-02,4,0,2,2,3,3,4,3,4,4,3,4,4,3,25
2,2,2022-04-09,2,2,3,2,4,5,4,2,5,4,3,4,4,5,25
2,2,2022-04-09,4,0,2,3,4,4,4,2,5,3,2,5,4,4,25
2,2,2022-04-09,5,2,3,2,5,4,4,3,4,4,2,5,2,4,25
3,3,2022-04-16,1,1,2,2,4,4,5,3,4,4,2,5,4,4,25
3,3,2022-04-16,2,1,2,3,3,3,4,3,4,4,3,4,4,4,25
3,3,2022-04-16,3,2,1,1,5,5,4,2,5,2,2,5,5,5,25
3,3,2022-04-16,4,2,1,1,4,5,5,1,5,2,1,6,5,5,25
3,3,2022-04-16,5,0,2,2,4,3,5,2,5,2,2,5,4,5,25
4,4,2022-04-23,1,2,2,1,4,5,4,3,5,2,2,5,4,4,25
4,4,2022-04-23,2,1,2,1,4,4,5,3,5,3,2,5,4,4,25
4,4,2022-04-23,4,-1,3,4,2,2,3,4,5,4,3,4,4,4,25
4,4,2022-04-23,5,-1,3,4,1,2,4,5,5,5,3,4,4,4,25
5,5,2022-04-30,1,1,1,2,4,4,4,3,5,3,2,5,5,4,25
5,5,2022-04-30,2,2,1,1,5,5,5,2,6,2,1,5,5,5,25
5,5,2022-04-30,3,1,2,2,4,4,5,2,5,2,2,5,4,4,25
5,5,2022-04-30,5,2,1,1,4,5,5,2,5,2,1,5,4,5,25
6,6,2022-05-07,1,1,2,2,4,4,4,3,5,4,2,4,5,3,25
6,6,2022-05-07,2,0,2,2,3,3,4,3,4,4,3,4,4,3,25
