day,bysubj_day,date,time_window,context,nervous,upset,satisfied,happy,scs_pos_1,scs_neg_2,scs_pos_3,scs_neg_4,scs_neg_5,scs_pos_6,scs_pos_7,scs_neg_8,id
3,3,2022-04-16,5,2,2,1,5,5,5,3,4,6,3,6,5,5,44
4,4,2022-04-23,1,1,2,3,4,3,2,2,5,5,3,5,5,4,44
4,4,2022-04-23,2,-1,3,3,2,2,4,4,3,6,3,5,2,5,44
4,4,2022-04-23,3,0,4,3,3,2,4,4,3,6,2,6,4,4,44
4,4,2022-04-23,4,-2,5,5,3,1,2,4,2,6,3,5,4,6,44
5,5,2022-04-30,1,0,2,4,4,3,4,4,3,4,2,5,3,5,44
5,5,2022-04-30,2,0,1,2,3,4,5,1,5,5,2,6,5,2,44
5,5,2022-04-30,3,-1,4,4,4,2,5,3,4,6,3,5,4,4,44
5,5,2022-04-30,4,1,2,2,4,3,3,2,4,6,1,6,5,5,44
5,5,2022-04-30,5,1,1,2,5,5,5,3,3,5,1,5,6,3,44
6,6,2022-05-07,1,0,2,2,3,4,3,4,4,6,4,5,4,5,44
6,6,2022-05-07,2,0,4,3,3,3,4,3,2,6,4,5,5,5,44
6,6,2022-05-07,3,-1,2,4,4,2,4,4,4,6,5,5,5,5,44
6,6,2022-05-07,4,-1,5,4,2,1,2,5,2,6,4,6,2,6,44
6,6,2022-05-07,5,2,1,2,5,4,3,2,3,6,2,5,4,5,44
7,7,2022-05-14,1,2,1,2,4,4,4,2,4,4,4,6,5,3,44
7,7,2022-05-14,2,1,3,2,5,4,5,3,3,6,2,5,3,4,44
7,7,2022-05-14,3,1,4,4,4,2,4,2,3,6,4,5,4,4,44
7,7,2022-05-14,4,-1,5,4,3,1,3,2,3,6,2,5,4,6,44
7,7,2022-05-14,5,-1,5,4,3,1,2,5,1,6,2,6,4,6,44
8,8,2022-05-21,1,1,1,2,2,3,3,4,4,6,2,5,4,4,44
8,8,2022-05-21,2,1,3,2,4,3,2,2,3,5,3,6,3,5,44
8,8,2022-05-21,3,0,4,4,3,2,3,4,2,6,4,5,3,4,44
8,8,2022-05-21,4,-2,5,5,2,1,3,2,1,6,5,6,4,6,44
8,8,2022-05-21,5,-2,5,5,5,1,2,4,1,6,4,6,4,6,44
9,9,2022-05-28,1,-1,4,5,3,1,1,3,2,6,3,5,4,4,44
9,9,2022-05-28,2,-1,4,4,5,3,1,2,1,6,4,5,4,5,44
9,9,2022-05-28,3,1,4,3,4,1,2,4,2,6,3,5,4,6,44
9,9,2022-05-28,4,1,5,3,2,3,2,4,1,6,4,6,5,5,44
9,9,2022-05-28,5,2,2,1,5,5,2,3,3,6,2,6,4,6,44
2,1,2022-04-09,1,0,1,1,4,4,4,2,2,4,2,4,4,4,45
2,1,2022-04-09,2,0,2,2,4,4,6,1,4,4,2,4,5,4,45
2,1,2022-04-09,3,0,1,1,4,5,5,2,4,2,2,4,4,4,45
2,1,2022-04-09,4,1,4,3,2,3,2,2,4,4,3,4,4,5,45
2,1,2022-04-09,5,1,2,1,4,5,5,2,4,4,4,4,3,4,45
3,2,2022-04-16,1,0,2,2,3,3,4,3,4,4,3,4,4,4,45
3,2,2022-04-16,2,0,1,2,3,4,4,2,4,4,2,5,4,2,45
3,2,2022-04-16,3,-1,2,2,3,4,5,2,4,4,2,5,5,5,45
3,2,2022-04-16,4,1,1,1,4,4,5,2,4,3,2,5,5,4,45
3,2,2022-04-16,5,0,1,1,4,4,5,2,4,2,2,4,5,3,45
4,3,2022-04-23,1,0,4,4,2,2,3,4,4,4,4,4,4,4,45
4,3,2022-04-23,2,0,2,4,3,3,3,4,5,4,4,4,3,4,45
4,3,2022-04-23,3,0,2,2,4,4,5,2,4,4,3,4,4,4,45
4,3,2022-04-23,4,0,2,2,4,4,5,2,5,4,2,4,5,3,45
4,3,2022-04-23,5,1,2,2,4,4,5,2,5,3,2,5,5,4,45
5,4,2022-04-30,1,1,2,3,3,3,4,4,4,5,3,5,4,5,45
5,4,2022-04-30,2,0,3,3,3,3,4,4,5,6,3,3,4,5,45
5,4,2022-04-30,3,1,2,3,4,4,5,4,4,5,5,4,4,5,45
5,4,2022-04-30,4,2,1,1,5,4,5,2,4,3,2,5,5,4,45
5,4,2022-04-30,5,1,2,2,4,4,5,2,6,2,2,5,5,5,45
6,5,2022-05-07,1,0,2,2,3,3,4,3,5,5,3,4,4,4,45
6,5,2022-05-07,2,0,4,2,2,2,3,3,5,5,3,4,3,4,45
6,5,2022-05-07,3,0,5,5,2,2,4,6,6,6,2,2,2,6,45
6,5,2022-05-07,4,0,3,3,3,3,4,4,3,4,3,4,4,4,45
6,5,2022-05-07,5,1,2,1,4,4,5,1,5,3,2,5,5,5,45
7,6,2022-05-14,1,0,2,2,3,4,5,3,5,3,3,5,4,4,45
7,6,2022-05-14,2,0,2,2,3,3,4,3,5,5,4,3,5,5,45
7,6,2022-05-14,3,0,5,3,1,1,4,2,6,6,1,4,4,6,45
7,6,2022-05-14,4,0,3,3,3,3,4,3,6,3,4,4,4,4,45
7,6,2022-05-14,5,1,1,1,4,5,5,1,6,2,2,5,6,5,45
8,7,2022-05-21,1,1,3,3,3,2,3,3,4,4,3,4,4,4,45
8,7,2022-05-21,2,1,2,2,3,4,5,2,5,2,1,5,4,4,45
8,7,2022-05-21,3,0,2,3,3,3,5,2,5,2,1,4,5,5,45
8,7,2022-05-21,4,-2,5,5,2,1,6,5,3,6,5,1,6,6,45
8,7,2022-05-21,5,1,1,2,3,4,4,2,4,4,1,6,5,5,45
9,8,2022-05-28,1,0,2,2,3,3,4,2,6,4,2,5,4,4,45
9,8,2022-05-28,2,0,2,2,3,4,6,1,5,3,2,6,4,6,45
9,8,2022-05-28,3,1,4,4,3,2,3,3,4,5,1,5,4,6,45
9,8,2022-05-28,4,0,2,1,4,3,5,2,6,2,1,5,5,5,45
9,8,2022-05-28,5,0,2,2,3,3,6,1,5,5,2,4,5,4,45
2,1,2022-04-09,2,1,5,3,2,3,3,4,4,3,4,5,4,5,47
2,1,2022-04-09,3,2,2,2,3,3,4,3,4,3,4,2,3,4,47
2,1,2022-04-09,4,1,2,2,3,3,4,3,4,3,4,2,3,4,47
2,1,2022-04-09,5,-1,5,3,3,3,2,2,5,1,3,5,4,4,47
3,2,2022-04-16,1,-2,5,5,1,1,1,6,2,6,5,2,1,5,47
3,2,2022-04-16,2,-2,5,5,1,1,1,6,2,6,5,4,1,5,47
3,2,2022-04-16,3,-2,4,5,1,1,1,6,5,6,4,4,1,3,47
3,2,2022-04-16,4,-2,5,5,1,1,1,6,5,5,6,1,1,3,47
3,2,2022-04-16,5,-2,5,5,1,1,1,6,1,6,6,1,1,1,47
4,3,2022-04-23,1,-1,4,5,1,1,4,5,2,6,5,2,1,4,47
4,3,2022-04-23,2,-2,2,4,1,2,1,4,5,4,6,4,1,4,47
4,3,2022-04-23,3,0,3,3,1,1,2,4,3,5,6,4,1,4,47
4,3,2022-04-23,4,-2,5,5,1,1,4,6,1,6,1,4,2,6,47
4,3,2022-04-23,5,-1,4,3,1,2,3,5,3,6,5,4,2,3,47
5,4,2022-04-30,2,-1,2,2,2,3,4,5,3,5,2,4,2,2,47
5,4,2022-04-30,4,0,3,3,2,3,4,3,4,4,4,3,3,3,47
5,4,2022-04-30,5,-1,4,2,2,2,3,5,4,3,6,4,1,3,47
6,5,2022-05-07,1,1,3,2,4,3,4,4,1,4,5,5,4,3,47
6,5,2022-05-07,2,-2,4,2,1,3,3,4,2,5,3,6,3,3,47
6,5,2022-05-07,3,2,2,2,2,3,1,5,3,5,6,5,1,1,47
6,5,2022-05-07,4,0,3,2,1,2,4,3,2,6,4,4,4,4,47
6,5,2022-05-07,5,-2,4,4,4,4,4,3,2,2,2,2,5,3,47
7,6,2022-05-14,1,-2,5,5,1,1,3,6,1,6,6,1,1,4,47
7,6,2022-05-14,2,0,3,3,3,3,2,3,3,3,3,3,3,2,47
7,6,2022-05-14,3,-2,3,5,3,1,3,3,1,6,6,5,3,1,47
7,6,2022-05-14,4,-1,5,5,2,1,2,6,1,6,6,1,3,1,47
7,6,2022-05-14,5,-2,5,5,1,1,1,2,1,5,3,5,3,2,47
8,7,2022-05-21,1,-1,4,3,1,2,1,5,5,5,5,4,3,3,47
8,7,2022-05-21,2,-1,2,3,2,2,3,4,3,5,5,5,3,3,47
8,7,2022-05-21,3,0,3,3,3,2,4,4,4,3,3,5,2,4,47
8,7,2022-05-21,4,0,4,4,1,1,2,6,6,5,3,6,1,3,47
8,7,2022-05-21,5,1,2,2,3,2,3,4,4,3,3,5,4,3,47
9,8,2022-05-28,2,1,2,2,3,3,1,2,1,4,6,4,1,2,47
9,8,2022-05-28,3,0,3,2,2,1,2,4,2,4,6,2,3,2,47
9,8,2022-05-28,4,1,5,3,2,1,4,4,3,4,6,4,5,5,47
9,8,2022-05-28,5,1,3,3,3,2,3,4,2,4,4,4,2,2,47
1,1,2022-04-02,1,-1,2,1,4,4,6,4,3,4,1,6,6,4,48
1,1,2022-04-02,2,2,1,1,5,5,6,1,4,1,1,6,6,2,48
1,1,2022-04-02,3,0,2,1,4,4,5,1,5,1,1,5,5,1,48
1,1,2022-04-02,4,2,2,1,4,4,6,2,5,1,1,6,6,5,48
1,1,2022-04-02,5,0,1,2,4,3,6,1,5,4,1,6,5,1,48
2,2,2022-04-09,1,2,1,1,4,5,6,1,5,1,1,5,6,5,48
2,2,2022-04-09,2,0,3,3,3,2,5,1,6,2,4,3,5,5,48
2,2,2022-04-09,3,0,1,1,4,4,6,1,5,1,1,6,6,1,48
2,2,2022-04-09,4,-1,2,2,4,3,5,1,5,1,1,6,6,2,48
2,2,2022-04-09,5,2,1,1,5,5,6,1,6,1,1,6,6,5,48
3,3,2022-04-16,1,-2,1,2,2,2,4,6,2,5,4,4,4,5,48
3,3,2022-04-16,2,2,1,1,5,5,6,1,6,1,1,6,6,4,48
3,3,2022-04-16,3,2,1,1,5,5,6,1,6,1,1,6,6,5,48
3,3,2022-04-16,4,2,1,1,5,5,6,1,6,1,1,6,6,5,48
3,3,2022-04-16,5,2,1,1,5,5,6,1,6,1,1,6,6,5,48
4,4,2022-04-23,1,0,2,2,3,3,4,3,5,4,3,5,5,4,48
4,4,2022-04-23,2,-1,2,1,2,3,4,4,5,4,2,4,5,5,48
4,4,2022-04-23,3,0,2,1,3,3,4,2,5,2,2,5,5,2,48
4,4,2022-04-23,4,2,1,1,4,4,6,2,6,1,1,5,5,6,48
4,4,2022-04-23,5,0,1,1,3,4,5,1,5,4,1,5,5,3,48
5,5,2022-04-30,1,1,1,1,4,4,6,1,6,1,1,6,6,3,48
5,5,2022-04-30,2,0,1,1,5,4,5,1,6,1,1,6,6,4,48
5,5,2022-04-30,3,0,1,1,5,4,6,1,6,1,1,6,6,2,48
5,5,2022-04-30,4,2,1,1,5,5,6,1,6,1,1,6,6,6,48
5,5,2022-04-30,5,1,2,1,4,4,5,1,6,1,1,5,6,5,48
6,6,2022-05-07,1,0,1,1,3,3,5,1,5,2,1,5,5,2,48
6,6,2022-05-07,2,1,1,1,4,5,6,1,6,1,1,6,6,2,48
6,6,2022-05-07,3,1,1,1,5,5,6,1,6,1,1,6,6,1,48
6,6,2022-05-07,4,1,1,1,4,5,6,1,6,1,1,6,6,1,48
6,6,2022-05-07,5,1,1,1,4,4,6,1,6,1,1,6,6,1,48
7,7,2022-05-14,1,0,2,1,4,4,5,1,6,1,1,6,6,1,48
7,7,2022-05-14,2,0,1,1,5,5,6,1,6,1,1,6,6,1,48
7,7,2022-05-14,3,0,1,1,4,4,6,1,6,1,1,6,6,1,48
7,7,2022-05-14,4,0,1,1,4,4,6,1,6,1,1,6,6,1,48
8,8,2022-05-21,1,0,4,4,2,2,4,1,5,4,1,4,5,2,48
8,8,2022-05-21,2,0,2,1,3,4,5,1,5,2,1,5,5,2,48
8,8,2022-05-21,3,1,1,1,5,5,6,1,6,1,1,6,6,1,48
9,9,2022-05-28,1,2,1,1,5,5,6,1,6,1,1,6,6,1,48
9,9,2022-05-28,2,2,1,1,5,5,6,1,6,1,1,6,6,1,48
9,9,2022-05-28,3,2,1,1,5,5,6,1,6,1,1,6,6,1,48
9,9,2022-05-28,5,2,1,1,5,5,6,1,6,1,1,6,6,1,48
1,1,2022-04-02,1,1,4,2,5,4,5,2,4,3,4,5,4,5,50
1,1,2022-04-02,2,1,4,4,4,4,4,5,2,4,4,4,3,4,50
1,1,2022-04-02,3,-1,5,5,5,5,6,6,4,4,6,5,5,6,50
1,1,2022-04-02,4,1,5,4,4,4,4,4,2,4,4,4,4,4,50
2,2,2022-04-09,1,2,5,5,5,5,5,6,5,5,6,5,5,6,50
2,2,2022-04-09,2,2,5,4,4,4,4,6,4,6,6,4,5,4,50
2,2,2022-04-09,3,2,5,5,5,5,6,5,5,5,6,6,6,6,50
2,2,2022-04-09,4,2,4,2,4,5,6,6,3,6,5,2,2,6,50
2,2,2022-04-09,5,2,4,5,5,5,5,6,6,6,4,5,6,6,50
3,3,2022-04-16,1,2,5,5,5,5,6,6,6,6,6,6,6,6,50
3,3,2022-04-16,2,2,5,5,5,5,6,6,6,6,6,6,6,6,50
3,3,2022-04-16,3,2,5,5,5,4,6,6,6,6,6,6,6,6,50
3,3,2022-04-16,4,2,5,5,5,5,6,6,6,6,6,6,6,6,50
3,3,2022-04-16,5,2,4,5,4,4,6,5,6,6,4,6,6,6,50
4,4,2022-04-23,1,2,3,3,5,5,3,4,3,3,6,6,6,3,50
4,4,2022-04-23,2,2,5,5,5,5,6,6,6,6,6,6,6,6,50
4,4,2022-04-23,3,2,5,5,5,5,6,6,6,6,6,6,6,6,50
4,4,2022-04-23,4,2,5,5,5,5,6,6,5,6,6,6,6,6,50
4,4,2022-04-23,5,2,5,5,5,5,6,6,6,6,6,6,6,6,50
5,5,2022-04-30,1,2,5,5,5,4,5,6,4,5,6,5,5,5,50
5,5,2022-04-30,2,2,5,5,5,5,6,6,4,6,6,6,6,6,50
5,5,2022-04-30,3,2,5,5,5,5,6,6,6,6,6,6,6,6,50
5,5,2022-04-30,5,2,5,5,5,5,6,6,4,6,6,6,6,6,50
6,6,2022-05-07,1,2,5,5,5,5,6,6,5,6,6,6,6,6,50
6,6,2022-05-07,2,2,5,5,5,5,6,6,6,6,6,6,6,6,50
6,6,2022-05-07,3,2,5,5,5,5,6,6,6,6,6,6,5,6,50
6,6,2022-05-07,4,2,5,5,5,4,6,6,6,6,6,6,6,6,50
7,7,2022-05-14,1,2,5,5,5,5,6,6,5,6,6,6,6,6,50
7,7,2022-05-14,2,2,5,5,5,5,6,6,6,6,6,6,6,6,50
7,7,2022-05-14,3,2,5,5,5,5,6,6,6,6,6,6,6,6,50
7,7,2022-05-14,5,2,5,5,5,5,6,6,6,6,6,6,6,6,50
8,8,2022-05-21,1,2,4,5,5,4,4,6,3,4,5,5,4,6,50
8,8,2022-05-21,2,2,5,5,5,4,5,5,5,4,6,5,5,6,50
8,8,2022-05-21,3,2,5,5,5,4,6,6,5,2,6,6,6,6,50
8,8,2022-05-21,4,2,5,5,5,5,6,6,6,6,6,6,6,6,50
8,8,2022-05-21,5,2,5,5,5,5,6,5,6,6,6,5,6,6,50
9,9,2022-05-28,2,2,5,5,5,5,6,6,6,6,6,5,6,6,50
9,9,2022-05-28,3,2,5,5,5,5,6,6,5,6,6,6,6,6,50
9,9,2022-05-28,4,2,5,5,5,5,6,6,6,6,6,6,6,6,50
9,9,2022-05-28,5,2,5,5,5,5,6,6,6,6,6,6,6,6,50
1,1,2022-04-02,1,0,4,1,2,3,4,3,6,4,4,5,2,2,51
1,1,2022-04-02,2,1,2,2,4,3,4,2,5,4,2,4,3,4,51
1,1,2022-04-02,3,0,2,1,3,3,4,2,5,4,3,3,5,2,51
1,1,2022-04-02,4,-1,4,2,3,3,5,3,5,4,3,3,2,5,51
1,1,2022-04-02,5,1,3,3,4,4,5,4,5,4,4,4,2,4,51
2,2,2022-04-09,1,0,3,2,4,4,4,2,4,4,4,4,4,2,51
2,2,2022-04-09,2,-1,5,4,2,2,2,5,5,5,5,2,2,5,51
2,2,2022-04-09,3,0,2,2,2,2,3,4,5,5,5,4,2,5,51
2,2,2022-04-09,4,0,5,3,3,3,3,5,5,5,4,5,3,5,51
2,2,2022-04-09,5,0,5,5,3,2,5,5,5,5,4,2,5,4,51
3,3,2022-04-16,1,1,5,4,3,2,5,2,5,5,4,5,5,3,51
3,3,2022-04-16,2,-1,5,4,4,2,3,3,5,4,4,5,4,5,51
3,3,2022-04-16,3,0,5,2,3,3,5,3,5,4,4,4,4,4,51
3,3,2022-04-16,4,0,5,4,4,4,5,4,3,3,4,4,5,4,51
3,3,2022-04-16,5,-1,5,3,2,3,4,3,4,4,4,3,4,4,51
4,4,2022-04-23,1,0,4,2,4,3,4,3,5,4,4,4,4,4,51
4,4,2022-04-23,2,0,4,4,4,3,4,3,5,4,4,3,4,4,51
4,4,2022-04-23,3,0,4,2,4,4,4,3,3,5,4,4,4,4,51
4,4,2022-04-23,4,0,3,2,4,4,3,5,4,5,4,4,4,5,51
4,4,2022-04-23,5,0,2,2,4,4,4,4,5,3,4,4,4,5,51
5,5,2022-04-30,1,0,4,2,4,3,4,3,5,3,2,4,4,5,51
5,5,2022-04-30,2,0,4,2,3,2,4,2,4,2,4,5,4,4,51
5,5,2022-04-30,3,0,3,2,4,4,4,3,4,5,2,5,4,2,51
5,5,2022-04-30,4,1,3,3,4,4,4,2,4,2,4,5,5,4,51
5,5,2022-04-30,5,1,3,2,4,4,5,2,5,5,3,5,3,5,51
6,6,2022-05-07,1,0,3,1,3,5,5,2,5,5,4,5,4,5,51
6,6,2022-05-07,2,-1,4,2,3,4,5,3,5,5,5,4,5,4,51
6,6,2022-05-07,3,1,3,4,4,4,4,3,5,5,2,5,5,5,51
6,6,2022-05-07,4,2,2,2,4,5,5,2,5,2,2,5,4,5,51
6,6,2022-05-07,5,2,2,1,5,4,5,5,5,2,2,5,5,5,51
7,7,2022-05-14,1,0,4,4,2,1,2,4,5,5,5,2,2,4,51
7,7,2022-05-14,2,0,4,4,2,4,4,5,5,5,5,3,4,3,51
7,7,2022-05-14,3,0,4,3,2,4,5,5,5,5,2,5,2,5,51
7,7,2022-05-14,4,1,2,2,4,4,5,2,5,5,2,2,5,5,51
7,7,2022-05-14,5,0,2,2,3,4,5,3,6,5,4,4,4,4,51
8,8,2022-05-21,1,0,4,4,2,2,4,5,4,5,4,2,2,5,51
8,8,2022-05-21,2,1,2,2,4,4,5,2,5,4,3,5,5,2,51
8,8,2022-05-21,3,0,3,3,2,4,5,4,5,4,3,3,4,4,51
8,8,2022-05-21,4,1,1,2,3,4,4,2,5,4,4,5,4,3,51
8,8,2022-05-21,5,0,2,2,3,4,5,2,4,4,2,4,5,4,51
9,9,2022-05-28,1,1,2,3,4,4,5,2,5,4,2,5,4,2,51
9,9,2022-05-28,2,1,3,1,4,4,4,3,6,2,2,5,4,2,51
9,9,2022-05-28,3,1,1,2,4,4,5,2,4,4,2,5,4,2,51
9,9,2022-05-28,4,0,4,2,4,4,5,2,4,4,4,4,4,4,51
9,9,2022-05-28,5,1,4,2,4,3,4,2,5,2,3,4,4,3,51
1,1,2022-04-02,1,-2,5,4,4,1,5,5,5,3,3,1,1,4,52
1,1,2022-04-02,2,0,2,2,3,4,6,2,6,5,5,2,5,3,52
1,1,2022-04-02,3,0,4,4,3,4,4,3,1,6,4,4,3,4,52
1,1,2022-04-02,4,1,4,3,3,3,4,3,6,4,4,4,5,3,52
1,1,2022-04-02,5,-1,2,2,3,3,4,4,5,2,4,4,4,3,52
2,2,2022-04-09,2,0,2,2,3,2,3,3,5,4,3,2,4,2,52
2,2,2022-04-09,3,0,4,3,4,2,5,4,2,4,2,3,2,3,52
2,2,2022-04-09,4,-1,3,4,3,3,3,4,5,5,3,4,3,5,52
2,2,2022-04-09,5,0,3,3,3,2,4,4,4,4,4,2,1,3,52
3,3,2022-04-16,1,0,1,1,3,4,5,2,4,3,4,2,4,4,52
3,3,2022-04-16,2,0,2,2,4,4,2,3,5,4,2,3,3,4,52
3,3,2022-04-16,3,1,2,2,4,4,5,2,4,3,2,4,3,4,52
3,3,2022-04-16,4,-1,2,2,3,2,4,3,3,4,3,4,4,4,52
3,3,2022-04-16,5,-1,4,3,2,2,4,3,4,4,2,4,5,2,52
5,4,2022-04-30,2,0,2,4,3,3,4,4,5,4,3,4,3,4,52
5,4,2022-04-30,3,0,3,3,3,3,3,4,4,5,4,3,3,3,52
5,4,2022-04-30,4,1,2,2,2,3,4,3,3,3,3,4,4,4,52
5,4,2022-04-30,5,-2,4,4,2,1,2,4,2,4,4,4,2,3,52
6,5,2022-05-07,1,1,3,2,3,2,4,2,5,3,4,3,3,4,52
6,5,2022-05-07,2,1,2,2,3,2,3,4,4,4,4,3,3,3,52
6,5,2022-05-07,3,1,3,2,4,3,4,3,4,3,3,4,4,3,52
6,5,2022-05-07,4,1,2,3,3,3,4,3,4,4,2,4,4,4,52
6,5,2022-05-07,5,0,3,4,2,2,3,4,3,3,4,4,3,4,52
7,6,2022-05-14,2,1,2,2,4,2,4,3,4,4,3,3,4,4,52
7,6,2022-05-14,3,-1,5,4,2,2,3,2,4,2,3,3,3,4,52
7,6,2022-05-14,4,1,3,3,3,3,4,2,4,4,4,3,4,3,52
7,6,2022-05-14,5,1,3,2,4,3,3,4,4,5,5,3,3,4,52
8,7,2022-05-21,1,1,4,4,2,2,3,3,3,3,3,3,3,3,52
8,7,2022-05-21,2,1,3,2,3,2,4,4,4,4,3,3,3,3,52
8,7,2022-05-21,3,-1,3,2,2,3,5,6,6,5,2,4,5,5,52
8,7,2022-05-21,4,-1,4,5,1,2,3,6,3,4,3,2,3,6,52
8,7,2022-05-21,5,1,3,3,3,3,2,4,5,4,4,3,2,3,52
9,8,2022-05-28,1,-1,2,4,3,2,2,3,4,4,4,3,3,2,52
9,8,2022-05-28,2,-1,4,4,3,2,3,4,4,4,5,3,3,4,52
9,8,2022-05-28,3,1,3,2,3,2,4,3,4,4,3,3,3,4,52
9,8,2022-05-28,4,1,2,3,3,3,4,3,4,3,3,3,3,3,52
9,8,2022-05-28,5,1,2,2,4,3,4,3,5,5,3,5,5,3,52
2,1,2022-04-09,1,1,1,1,5,5,5,1,6,5,2,6,4,3,49
2,1,2022-04-09,2,0,2,1,4,4,4,1,6,2,1,5,5,4,49
2,1,2022-04-09,3,-1,3,4,3,5,6,1,6,5,1,5,6,5,49
2,1,2022-04-09,4,0,2,1,4,5,6,2,6,1,1,6,6,4,49
2,1,2022-04-09,5,2,1,1,5,5,6,2,6,1,2,5,6,5,49
3,2,2022-04-16,1,1,1,1,4,5,6,1,6,1,1,5,6,3,49
3,2,2022-04-16,2,0,1,1,4,4,4,1,6,1,1,6,5,5,49
3,2,2022-04-16,3,-1,2,2,3,3,5,1,6,1,1,5,3,5,49
3,2,2022-04-16,4,-1,1,2,1,3,4,1,6,1,1,5,3,4,49
3,2,2022-04-16,5,0,1,1,3,4,5,1,6,1,1,5,1,3,49
4,3,2022-04-23,1,-1,2,2,2,2,3,4,6,2,2,5,5,3,49
4,3,2022-04-23,2,2,2,1,5,5,6,1,6,1,1,6,6,4,49
4,3,2022-04-23,3,2,1,1,4,5,6,1,6,1,1,6,6,5,49
4,3,2022-04-23,4,1,1,1,3,5,5,1,6,1,1,6,5,5,49
4,3,2022-04-23,5,-2,2,2,3,4,5,1,6,1,1,4,6,5,49
5,4,2022-04-30,1,-2,1,2,3,3,5,2,6,1,1,5,5,4,49
5,4,2022-04-30,2,2,1,1,4,4,6,1,6,1,1,6,5,4,49
5,4,2022-04-30,3,0,1,2,2,2,5,1,6,1,4,5,4,5,49
5,4,2022-04-30,4,2,1,1,5,5,6,1,6,1,1,6,6,6,49
5,4,2022-04-30,5,1,1,1,4,4,6,1,6,1,1,6,5,5,49
6,5,2022-05-07,1,1,1,1,3,3,4,2,5,1,3,4,4,4,49
6,5,2022-05-07,2,-2,2,2,2,3,5,2,5,1,1,5,6,4,49
6,5,2022-05-07,3,1,1,1,5,3,5,1,6,1,1,6,6,5,49
6,5,2022-05-07,4,2,1,1,4,4,6,1,6,1,1,6,6,4,49
6,5,2022-05-07,5,2,1,1,5,5,6,1,6,2,2,6,6,3,49
7,6,2022-05-14,1,0,2,2,3,3,5,5,6,1,2,5,5,2,49
7,6,2022-05-14,2,0,1,1,4,3,5,1,6,2,1,6,5,5,49
7,6,2022-05-14,3,-1,1,1,3,4,4,1,6,1,1,6,5,5,49
7,6,2022-05-14,4,1,1,1,4,4,5,1,6,1,1,6,5,4,49
7,6,2022-05-14,5,0,4,2,3,2,5,1,6,1,1,6,4,5,49
8,7,2022-05-21,1,-1,3,3,2,2,4,4,6,4,3,4,4,5,49
8,7,2022-05-21,2,1,1,1,5,5,5,1,6,4,1,6,5,4,49
8,7,2022-05-21,3,-1,2,2,2,3,4,2,6,1,3,4,4,4,49
8,7,2022-05-21,4,0,1,2,4,4,5,1,6,1,1,5,4,4,49
8,7,2022-05-21,5,1,1,1,4,4,5,1,5,1,1,5,5,4,49
9,8,2022-05-28,1,1,2,2,2,2,4,3,6,2,4,4,3,4,49
9,8,2022-05-28,2,-1,1,2,2,3,4,1,6,3,2,4,5,4,49
9,8,2022-05-28,3,0,2,1,3,2,4,2,5,4,2,4,4,3,49
9,8,2022-05-28,4,1,1,1,3,3,4,1,6,1,1,4,5,4,49
9,8,2022-05-28,5,2,1,1,4,4,5,1,6,1,2,5,5,4,49
10,9,2022-06-04,1,-1,2,2,3,3,4,2,6,1,3,4,4,4,49
10,9,2022-06-04,2,-1,2,2,2,2,4,4,6,5,4,4,3,5,49
10,9,2022-06-04,3,0,2,2,3,2,4,2,6,3,4,4,4,4,49
10,9,2022-06-04,4,-1,1,2,2,3,5,1,6,1,4,4,5,4,49
10,9,2022-06-04,5,1,2,2,2,3,4,3,6,1,1,5,4,4,49
2,1,2022-04-09,1,-2,5,4,1,1,2,5,4,5,6,4,2,5,53
2,1,2022-04-09,2,1,2,2,1,2,2,4,5,6,5,3,2,4,53
2,1,2022-04-09,3,0,3,3,3,3,4,3,5,3,4,4,4,5,53
2,1,2022-04-09,4,1,3,2,4,4,5,3,5,4,2,5,5,5,53
2,1,2022-04-09,5,2,4,2,4,4,4,3,5,4,2,4,4,3,53
3,2,2022-04-16,1,2,2,2,4,4,5,3,5,4,3,4,2,5,53
3,2,2022-04-16,2,0,2,2,3,4,5,2,4,3,3,4,5,3,53
3,2,2022-04-16,3,0,2,2,3,4,4,2,4,4,2,5,4,4,53
3,2,2022-04-16,4,2,2,2,4,3,4,3,4,4,2,4,4,4,53
3,2,2022-04-16,5,0,2,2,3,3,4,2,4,3,2,4,4,4,53
4,3,2022-04-23,1,2,2,2,4,4,4,3,5,5,2,4,4,4,53
4,3,2022-04-23,2,-1,3,3,3,2,3,3,4,4,4,4,4,4,53
4,3,2022-04-23,3,0,2,3,2,3,3,3,5,4,4,4,4,4,53
4,3,2022-04-23,4,0,3,3,2,2,4,3,4,5,5,3,3,4,53
4,3,2022-04-23,5,1,2,2,3,4,4,2,4,4,3,3,4,4,53
5,4,2022-04-30,1,2,1,1,5,5,5,2,4,4,2,5,4,5,53
5,4,2022-04-30,2,2,2,2,4,5,4,3,5,3,2,4,5,5,53
5,4,2022-04-30,3,1,2,2,4,4,3,2,4,4,2,4,3,4,53
5,4,2022-04-30,4,0,3,2,3,3,5,2,5,4,3,4,4,4,53
5,4,2022-04-30,5,-1,4,4,2,2,3,5,5,5,4,3,3,4,53
6,5,2022-05-07,1,2,2,1,4,4,5,2,4,3,4,5,3,4,53
6,5,2022-05-07,2,2,2,2,4,4,4,3,4,3,3,4,4,4,53
6,5,2022-05-07,3,1,2,2,4,3,4,2,4,4,3,4,4,4,53
