id,group,passive_count,word_count,I_liwc,I_c,wc_c
hzt8um,dep,2,258,25,8.50621403912543,87.7640966628309
hzt7du,dep,1,197,21,4.50621403912543,26.7640966628308
hzt4fo,dep,1,248,31,14.5062140391254,77.7640966628308
hzsz1r,dep,0,48,9,-7.49378596087457,-122.235903337169
hzsyld,dep,2,107,5,-11.4937859608746,-63.2359033371692
hzstw1,dep,1,70,5,-11.4937859608746,-100.235903337169
hzsrni,dep,0,18,3,-13.4937859608746,-152.235903337169
hzsof9,dep,1,202,12,-4.49378596087457,31.7640966628308
hzsnlh,dep,1,337,30,13.5062140391254,166.764096662831
hzsnf7,dep,5,439,41,24.5062140391254,268.764096662831
hzslk7,dep,0,44,4,-12.4937859608746,-126.235903337169
hzskpa,dep,3,385,26,9.50621403912543,214.764096662831
hzshlm,dep,0,206,35,18.5062140391254,35.7640966628308
hzsf4d,dep,0,42,0,-16.4937859608746,-128.235903337169
hzsdpk,dep,1,116,18,1.50621403912543,-54.2359033371692
hzsdby,dep,0,250,22,5.50621403912543,79.7640966628308
hzsbzf,dep,0,18,2,-14.4937859608746,-152.235903337169
hzs9d4,dep,5,541,60,43.5062140391254,370.764096662831
hzs79k,dep,0,6,0,-16.4937859608746,-164.235903337169
hzs6v2,dep,0,42,6,-10.4937859608746,-128.235903337169
hzs6of,dep,3,108,16,-0.493785960874568,-62.2359033371692
hzs6o2,dep,8,502,45,28.5062140391254,331.764096662831
hzs3f3,dep,1,33,6,-10.4937859608746,-137.235903337169
hzs1u8,dep,4,433,47,30.5062140391254,262.764096662831
hzs0pm,dep,0,114,12,-4.49378596087457,-56.2359033371692
hzrz1w,dep,4,638,69,52.5062140391254,467.764096662831
hzryzq,dep,0,115,15,-1.49378596087457,-55.2359033371692
hzryo7,dep,0,70,3,-13.4937859608746,-100.235903337169
hzrvuy,dep,2,349,40,23.5062140391254,178.764096662831
hzrtyj,dep,0,115,12,-4.49378596087457,-55.2359033371692
hzrtfz,dep,0,208,18,1.50621403912543,37.7640966628308
hzrsx0,dep,0,79,12,-4.49378596087457,-91.2359033371692
hzrs07,dep,0,1,0,-16.4937859608746,-169.235903337169
hzrq2j,dep,0,53,5,-11.4937859608746,-117.235903337169
hzrkeu,dep,0,78,10,-6.49378596087457,-92.2359033371692
hzrjtl,dep,1,257,21,4.50621403912543,86.7640966628308
hzrg2p,dep,1,38,3,-13.4937859608746,-132.235903337169
hzrfzy,dep,1,500,58,41.5062140391254,329.764096662831
hzrczx,dep,6,482,52,35.5062140391254,311.764096662831
hzrcbf,dep,0,133,17,0.506214039125432,-37.2359033371692
hzrauz,dep,0,108,13,-3.49378596087457,-62.2359033371692
hzr8f2,dep,1,34,2,-14.4937859608746,-136.235903337169
hzr82n,dep,0,52,9,-7.49378596087457,-118.235903337169
hzr6dv,dep,1,118,8,-8.49378596087457,-52.2359033371692
hzr42i,dep,0,8,1,-15.4937859608746,-162.235903337169
hzr3d4,dep,1,56,5,-11.4937859608746,-114.235903337169
hzr3cc,dep,0,110,14,-2.49378596087457,-60.2359033371692
hzr2r4,dep,0,105,12,-4.49378596087457,-65.2359033371692
hzr0ah,dep,0,81,10,-6.49378596087457,-89.2359033371692
hzqydb,dep,4,594,81,64.5062140391254,423.764096662831
hzqwiz,dep,0,162,24,7.50621403912543,-8.23590333716916
hzqvgy,dep,0,37,6,-10.4937859608746,-133.235903337169
hzquu7,dep,0,56,9,-7.49378596087457,-114.235903337169
hzqro6,dep,0,40,2,-14.4937859608746,-130.235903337169
hzqr90,dep,0,313,29,12.5062140391254,142.764096662831
hzqqxq,dep,0,158,21,4.50621403912543,-12.2359033371692
hzqqmo,dep,2,349,42,25.5062140391254,178.764096662831
hzqowx,dep,0,60,6,-10.4937859608746,-110.235903337169
hzqo9i,dep,0,306,23,6.50621403912543,135.764096662831
hzqms7,dep,3,313,25,8.50621403912543,142.764096662831
hzqmh1,dep,0,230,28,11.5062140391254,59.7640966628308
hzqked,dep,1,276,42,25.5062140391254,105.764096662831
hzqijx,dep,2,115,19,2.50621403912543,-55.2359033371692
hzqhjp,dep,0,56,11,-5.49378596087457,-114.235903337169
