state_ab,prop_boosted,mandate_type,prop_vacc_center
ca,0.224794092338223,mandate,0.14589462230807
co,0.295111046861877,mandate,0.14415522243984
ct,0.239871058368581,mandate,0.162685677707066
de,0.234506763391083,mandate,0.13736621708801
fl,0.245301876751011,ban,0.154482051681239
ga,0.204336431128363,ban,0.124717796680799
ia,0.299894248707579,ban,0.123634006030504
id,0.29536145742399,ban,0.0893346044491689
il,0.280559975654302,mandate,0.156197094525997
in,0.240546768705662,ban,0.118110168203902
ks,0.242388923533167,ban,0.123517188305841
ma,0.223975481362932,mandate,0.155175945155868
md,0.262144496117849,mandate,0.150201896623452
mi,0.276642470985783,ban,0.11790127508931
mn,0.317420630916144,mandate,0.140550506734367
mo,0.258565637269764,ban,0.121955475466983
mt,0.32099563341916,ban,0.113637044252131
nc,0.162328075134878,mandate,0.128657008123095
nd,0.28163084026411,ban,0.0999021755125278
nh,0.0583796117609407,ban,0.145343718632453
nj,0.216634767057212,mandate,0.148218294852704
nm,0.279829525924966,mandate,0.129656440637523
nv,0.207010124207024,mandate,0.128112142569563
ny,0.149239934322112,mandate,0.15536088147703
ok,0.24456853835022,ban,0.122534239769231
or,0.265710708484536,mandate,0.152381462711106
pa,0.156033593534089,mandate,0.150681871795629
sc,0.25688378564858,ban,0.126308276776242
sd,0.246269166462381,ban,0.109842075128769
tn,0.290849047940507,ban,0.1236013666959
tx,0.222123895072856,ban,0.132580150386573
ut,0.232133419114901,ban,0.134324711609106
va,0.258377276951565,mandate,0.147965924448916
vt,0.351832934357763,mandate,0.152044638540257
wa,0.251920146883162,mandate,0.145205072335735
wi,0.300798509869828,mandate,0.131249612252629
wy,0.305041891556895,ban,0.101368311529045
ak,0.327811134513219,ban,0.115177081365064
al,0.266254750957601,ban,0.116608122700795
ar,0.295629680820051,ban,0.127780127345036
az,0.25721264063721,ban,0.132751907826191
ca,0.254599490391408,mandate,0.149627328540937
co,0.335076499624651,mandate,0.147419251698751
ct,0.271523948046822,mandate,0.16498877979153
de,0.247447026325718,mandate,0.13911666978134
fl,0.270447220946139,ban,0.157397332207998
ga,0.229299681712162,ban,0.127832501229365
ia,0.340067850340924,ban,0.125838632338172
id,0.330600264799247,ban,0.0921547634984955
il,0.320746431339717,mandate,0.156657515144438
in,0.274759416045074,ban,0.119997798971702
ks,0.279639024586243,ban,0.12657935752796
ma,0.252225881931149,mandate,0.158028224309986
md,0.294017577345987,mandate,0.153284973608009
mi,0.315820856130437,ban,0.120091154816109
mn,0.367639107401208,mandate,0.14293646010108
mo,0.29098833295629,ban,0.124462880062768
mt,0.351582207591089,ban,0.11650901007367
nc,0.176240304571872,mandate,0.131392294356897
nd,0.318248996972506,ban,0.10237152727606
nh,0.0698950014475254,ban,0.151276183834378
nj,0.242042789472158,mandate,0.150626582706972
nm,0.320979697604046,mandate,0.132696112210508
nv,0.23458729711969,mandate,0.131082007974502
ny,0.179706327423107,mandate,0.158992693691077
ok,0.272291846461568,ban,0.125400977989196
or,0.29846490787125,mandate,0.154848423134819
pa,0.161817233959432,mandate,0.124872001537914
sc,0.279477020789868,ban,0.129089098722726
sd,0.274059207262774,ban,0.11355437233682
tn,0.324309315598668,ban,0.126566542729908
tx,0.243609106776048,ban,0.135175502813741
ut,0.262424769223299,ban,0.138376357209149
va,0.289545552077647,mandate,0.151821567614344
vt,0.389976227157077,mandate,0.15595441250867
wa,0.281606352669535,mandate,0.148502106075138
wi,0.34352397777426,mandate,0.133509936598945
wy,0.335218026905625,ban,0.104429760672757
ak,0.349925138901044,ban,0.11865096403572
al,0.281597458311692,ban,0.119695673031043
ar,0.320680916528483,ban,0.13122963852751
az,0.284980648114699,ban,0.136622363491108
ca,0.280215340058036,mandate,0.154653134292789
co,0.359773032663431,mandate,0.152003228568504
ct,0.299552205115442,mandate,0.168585143382944
de,0.294911487633734,mandate,0.14483471904107
fl,0.293596923946318,ban,0.162276679096123
ga,0.256744705161835,ban,0.130253051731266
ia,0.374754641861782,ban,0.129260314460657
id,0.356626462149203,ban,0.0945616782867524
il,0.35022791818407,mandate,0.160802716737399
in,0.288290100307901,ban,0.121571547438396
ks,0.305088788079587,ban,0.130122485808997
ma,0.282506478170677,mandate,0.162937000005957
md,0.31627623557634,mandate,0.159021507873702
mi,0.34413586326258,ban,0.1231457901584
mn,0.402052697013288,mandate,0.147268341838422
mo,0.309658037003991,ban,0.127351420369627
mt,0.37437278897714,ban,0.119254881878085
nc,0.193396854935582,mandate,0.13544443392129
nd,0.348207744785355,ban,0.105680498979089
nh,0.0712224114777838,ban,0.156081993989477
nj,0.265807917784381,mandate,0.154972324713972
nm,0.340680083338554,mandate,0.13615838016873
nv,0.258005824463496,mandate,0.134675507382619
ny,0.207338057095182,mandate,0.163103549835239
ok,0.289581018942948,ban,0.128976309615348
or,0.322472781506137,mandate,0.157929932219269
pa,0.180219179412058,mandate,0.118740472811462
sc,0.300931896495499,ban,0.132487465547343
sd,0.29963710270169,ban,0.118781652863621
tn,0.350325681995855,ban,0.129210153554145
tx,0.259792661870372,ban,0.138836768198283
ut,0.288598143900609,ban,0.141833408054095
va,0.315220425797089,mandate,0.156677612122041
vt,0.409381736215719,mandate,0.159810204938771
wa,0.304466239029717,mandate,0.152544361547159
wi,0.375243664869779,mandate,0.13688197732822
wy,0.366474668827848,ban,0.107942180443447
ak,0.382977277877749,ban,0.126607156571489
al,0.313625009837133,ban,0.123782542296978
ar,0.361049177067136,ban,0.137170436987977
az,0.323686581326452,ban,0.143700137402899
ca,0.320951562094873,mandate,0.164152166587258
co,0.402637375111806,mandate,0.162058504204651
ct,0.344423736587403,mandate,0.178115082996934
de,0.341079062594596,mandate,0.152525743504692
fl,0.332286133620327,ban,0.168449655228501
ga,0.283207093179842,ban,0.131026490039362
ia,0.423928210572857,ban,0.136406330664873
id,0.400802342549255,ban,0.0976721958037259
il,0.396740334629242,mandate,0.169780651201351
in,0.334380722524224,ban,0.125746862061771
ks,0.34606224342972,ban,0.137273414855986
ma,0.325931543221268,mandate,0.17402741747258
md,0.35731985631409,mandate,0.168768442742827
mi,0.386359471452558,ban,0.12985792738714
mn,0.460020973824877,mandate,0.157360753346134
mo,0.355404203000747,ban,0.134675697043285
mt,0.410371189843919,ban,0.125141377498723
nc,0.219766886221421,mandate,0.143230481477772
nd,0.389351981852854,ban,0.113912588340027
