state_ab,flu_vacc_est,mandate_type,cvd_vac_prop_cent
co,0.52121,mandate,0.0237051096750253
ct,0.592463,mandate,0.104641252334586
de,0.436814,mandate,-0.00301886921537131
fl,0.324227,ban,0.0047059813371948
ga,0.389132,ban,-0.116692753503777
id,0.404219,ban,-0.16821972707819
il,0.459742,mandate,0.00202689961274138
in,0.419209,ban,-0.105456097078135
ia,0.485577,ban,-0.0462537912201324
ks,0.459148,ban,-0.0654721946723252
md,0.599653,mandate,0.0547207972553819
ma,0.612267,mandate,0.0911492038886751
mi,0.460898,ban,-0.0660788291786267
mn,0.510417,mandate,0.0107576499963187
mo,0.480734,ban,-0.0990760049342818
mt,0.408421,ban,-0.0959405062002238
nv,0.279936,mandate,-0.0667016839867365
nh,0.529904,ban,0.032055258729595
nj,0.520285,mandate,0.0415846635631948
nm,0.445061,mandate,0.022179211249177
ny,0.488877,mandate,0.0524144802969103
nc,0.434337,mandate,-0.0625189861668475
nd,0.479055,ban,-0.129976828943052
ok,0.363567,ban,-0.0920540006717694
or,0.420956,mandate,0.0300185787305449
pa,0.509261,mandate,-0.0316417990039285
sc,0.386589,ban,-0.0902591207090764
sd,0.497565,ban,-0.0618476203960945
tn,0.418349,ban,-0.117868935894696
tx,0.434538,ban,-0.0628980814046387
ut,0.473898,ban,-0.0634848070066757
vt,0.5459,mandate,0.100421602347503
va,0.527511,mandate,0.0355072430266548
wa,0.482409,mandate,0.0358394714512271
wi,0.48207,mandate,-0.0190970742809822
wy,0.325326,ban,-0.150016398972193
al,0.386224,ban,-0.152916877629414
ak,0.359869,ban,-0.0582901120802842
az,0.386712,ban,-0.0435071136074109
ar,0.474511,ban,-0.107252888034942
ca,0.447073,mandate,0.034008964498917
co,0.539528,mandate,0.0337603853111721
ct,0.623283,mandate,0.114171191948576
de,0.449354,mandate,0.00467215524825104
fl,0.324237,ban,0.0108789574695731
ga,0.389132,ban,-0.115919315195681
id,0.422195,ban,-0.165109209561217
il,0.460521,mandate,0.0110048340766934
in,0.432842,ban,-0.10128078245476
ia,0.485577,ban,-0.0391077750159159
ks,0.459148,ban,-0.0583212656253356
md,0.599653,mandate,0.0644677321245076
ma,0.612684,mandate,0.102239621355298
mi,0.473072,ban,-0.0593666919498873
mn,0.511919,mandate,0.0208500615040308
mo,0.493265,ban,-0.0917517282606245
mt,0.418484,ban,-0.090054010579586
nv,0.279936,mandate,-0.0609690642702211
nh,0.529904,ban,0.0365156263256935
nj,0.520285,mandate,0.0495532336796143
nm,0.45218,mandate,0.0303185768445711
ny,0.497358,mandate,0.0614099778383891
nc,0.454213,mandate,-0.0547329386103652
nd,0.479055,ban,-0.121744739582114
ok,0.3748,ban,-0.0861966583953218
or,0.421781,mandate,0.0382014013605017
pa,0.51598,mandate,-0.0221386628420983
sc,0.386589,ban,-0.0846623376584876
sd,0.49896,ban,-0.0542180851332992
tn,0.437699,ban,-0.113241278475337
tx,0.440977,ban,-0.055814744589188
