state_ab,flu_vacc_est,mandate_type,cvd_vac_prop_cent
al,0.36,ban,-0.128395139648765
ga,0.366,ban,-0.0869750276435496
nv,0.369,mandate,-0.0316727658663375
ak,0.371,ban,-0.030284154568559
tx,0.372,ban,-0.0260103446341757
wy,0.375,ban,-0.114563049189023
fl,0.382,ban,0.038478350931539
ok,0.399,ban,-0.0590116610495756
id,0.4,ban,-0.138064583870504
tn,0.401,ban,-0.0875184913412294
az,0.403,ban,-0.0119607275377994
in,0.404,ban,-0.079900201600788
ar,0.404,ban,-0.0810014028246498
sc,0.405,ban,-0.0585157348076378
nm,0.426,mandate,0.0645235483278791
mt,0.428,ban,-0.0634781096944403
il,0.428,mandate,0.0427539052697908
mi,0.436,ban,-0.0315271183458183
mo,0.436,ban,-0.0665603231657496
wa,0.443,mandate,0.0792740373735535
or,0.45,mandate,0.066718565699201
de,0.451,mandate,0.0394673724673519
ny,0.463,mandate,0.101101369919079
nd,0.464,ban,-0.0801421238906519
ca,0.475,mandate,0.0729421864112561
nj,0.475,mandate,0.0825954303177463
ut,0.49,ban,-0.0164842528990454
wi,0.491,mandate,0.0184383202185506
ia,0.494,ban,-0.0115003559508523
md,0.503,mandate,0.0981924249914373
pa,0.504,mandate,0.0366166961775771
ks,0.511,ban,-0.0265370526787051
mn,0.515,mandate,0.0534083397716235
co,0.522,mandate,0.0686059929646025
sd,0.53,ban,-0.0227650731651529
va,0.541,mandate,0.083058447497781
nh,0.549,ban,0.0695167394877795
nc,0.555,mandate,-0.0232250812807658
vt,0.558,mandate,0.160210583108309
ma,0.577,mandate,0.139031023199462
ct,0.59,mandate,0.146512802163235
al,0.356,ban,-0.115430109527742
ga,0.358,ban,-0.0739322365206768
fl,0.37,ban,0.0514669010554921
nv,0.377,mandate,-0.0155432935022095
tx,0.38,ban,-0.010500530783196
ak,0.389,ban,-0.00324946229663314
wy,0.395,ban,-0.0980158818962559
az,0.402,ban,0.00338929463736215
id,0.403,ban,-0.0903312985522187
ar,0.411,ban,-0.0697631204324607
in,0.42,ban,-0.0696569361856704
tn,0.425,ban,-0.076819952110522
nc,0.43,mandate,-0.0101126062692314
mi,0.434,ban,-0.019967680066547
ok,0.441,ban,-0.0462871614370669
sc,0.443,ban,-0.0450501109654823
mt,0.446,ban,-0.05388649883349
nj,0.463,mandate,0.101603970347562
nd,0.464,ban,-0.0716416366947186
or,0.465,mandate,0.0776533967718168
nm,0.468,mandate,0.0812392795322928
mo,0.47,ban,-0.0561157111019511
wa,0.473,mandate,0.0963294735830088
il,0.473,mandate,0.0589235146858396
ny,0.474,mandate,0.118958031016761
ut,0.482,ban,0.00777814525526199
ks,0.485,ban,-0.0107202537819309
de,0.493,mandate,0.0562310956989905
pa,0.494,mandate,0.05175277780458
ca,0.496,mandate,0.095057776756758
co,0.5,mandate,0.083608876228799
va,0.507,mandate,0.10323980342558
md,0.509,mandate,0.11587319412472
ia,0.52,ban,-0.00114896713031232
wi,0.523,mandate,0.0313676314420797
ct,0.531,mandate,0.161699473313503
mn,0.546,mandate,0.0664248071256844
sd,0.551,ban,-0.00925798909155373
vt,0.581,mandate,0.172347043549949
nh,0.583,ban,0.0811435883080739
ma,0.598,mandate,0.153507428620953
fl,0.351,ban,0.0580649312027302
ga,0.36,ban,-0.0675284187187637
al,0.371,ban,-0.109595974634243
nv,0.377,mandate,-0.00692731556927329
wy,0.383,ban,-0.0920899272612752
ak,0.396,ban,0.00984830644376011
id,0.405,ban,-0.0834505485729197
tx,0.411,ban,-0.00113891689845624
tn,0.415,ban,-0.0703096260968145
az,0.422,ban,0.0133798332882439
ar,0.423,ban,-0.0635938187765549
sc,0.427,ban,-0.0361795181003499
in,0.431,ban,-0.0635088568783984
ca,0.444,mandate,0.105348801252942
mt,0.451,ban,-0.0484168579115675
mi,0.457,ban,-0.0121029240115957
or,0.462,mandate,0.0840771126321348
